Hallmark_Cancer_Pathway	Pathway_category	Pathway_short_name
HALLMARK_ADIPOGENESIS	other	Adipogenesis
HALLMARK_ALLOGRAFT_REJECTION	immune	Allograft recection
HALLMARK_ANDROGEN_RESPONSE	other	Androgen response
HALLMARK_ANGIOGENESIS	stromal	Angiogenesis
HALLMARK_APICAL_JUNCTION	stromal	Apical junction
HALLMARK_APICAL_SURFACE	other	Apical surface
HALLMARK_APOPTOSIS	cellular stress	Apoptosis
HALLMARK_BILE_ACID_METABOLISM	other	Bile acid metabolism
HALLMARK_CHOLESTEROL_HOMEOSTASIS	other	Cholesterol homeostasis
HALLMARK_COAGULATION	other	Coagulation
HALLMARK_COMPLEMENT	immune	Complement
HALLMARK_DNA_REPAIR	oncogenic	DNA repair
HALLMARK_E2F_TARGETS	oncogenic	E2F Targets
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	stromal	EMT
HALLMARK_ESTROGEN_RESPONSE_EARLY	other	Estrogen response early
HALLMARK_ESTROGEN_RESPONSE_LATE	other	Estrogen response late
HALLMARK_FATTY_ACID_METABOLISM	other	Fatty acid metabolism
HALLMARK_G2M_CHECKPOINT	oncogenic	G2M checkpoint
HALLMARK_GLYCOLYSIS	oncogenic	Glycolysis
HALLMARK_HEDGEHOG_SIGNALING	oncogenic	Hedgehog signaling
HALLMARK_HEME_METABOLISM	other	Heme Metabolism
HALLMARK_HYPOXIA	cellular stress	Hypoxia
HALLMARK_IL2_STAT5_SIGNALING	immune	IL2 STAT5
HALLMARK_IL6_JAK_STAT3_SIGNALING	immune	IL6 JAK
HALLMARK_INFLAMMATORY_RESPONSE	immune	Inflammatory response
HALLMARK_INTERFERON_ALPHA_RESPONSE	immune	IFN_
HALLMARK_INTERFERON_GAMMA_RESPONSE	immune	"IFN	_"
HALLMARK_KRAS_SIGNALING_DN	oncogenic	KRAS down
HALLMARK_KRAS_SIGNALING_UP	oncogenic	KRAS up
HALLMARK_MITOTIC_SPINDLE	oncogenic	Mitosis
HALLMARK_MTORC1_SIGNALING	oncogenic	MTORC1
HALLMARK_MYC_TARGETS_V1	oncogenic	MYC v1
HALLMARK_MYC_TARGETS_V2	oncogenic	MYC v2
HALLMARK_MYOGENESIS	other	Myogenesis 
HALLMARK_NOTCH_SIGNALING	oncogenic	NOTCH
HALLMARK_OXIDATIVE_PHOSPHORYLATION	other	Oxid. phophorylation
HALLMARK_P53_PATHWAY	oncogenic	P53
HALLMARK_PANCREAS_BETA_CELLS	other	Pancreas _cells
HALLMARK_PEROXISOME	other	Peroxisome
HALLMARK_PI3K_AKT_MTOR_SIGNALING	oncogenic	PI3 AKT MTOR
HALLMARK_PROTEIN_SECRETION	other	Protein secretion
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	cellular stress	React. oxygen
HALLMARK_SPERMATOGENESIS	other	Spermatogenesis
HALLMARK_TGF_BETA_SIGNALING	cellular stress	TGF_
HALLMARK_TNFA_SIGNALING_VIA_NFKB	immune	TNF_
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	cellular stress	Unfolded protein
HALLMARK_UV_RESPONSE_DN	cellular stress	UV down 
HALLMARK_UV_RESPONSE_UP	cellular stress	UV up
HALLMARK_WNT_BETA_CATENIN_SIGNALING	oncogenic	WNT 
HALLMARK_XENOBIOTIC_METABOLISM	other	Xenobiotic 
