cluster_name	Biology	Cluster_assignment 
C1		tumour_cluster
C2		tumour_cluster
C3		immune_cells
C4		tumour_cluster
C5		tumour_cluster
C6		tumour_cluster
C7		immune_cells
C8		other_cells
C9		immune_cells
C10		other_cells
C11		immune_cells
C12		tumour_cluster
C13		other_cells
C14		immune_cells
C15		tumour_cluster
C16		tumour_cluster
C17		tumour_cluster
C18		tumour_cluster
C19		immune_cells
C20		tumour_cluster
C21		other_cells
C22		immune_cells
C23		tumour_cluster
C24		immune_cells
C25		other_cells
C26		tumour_cluster
C27		immune_cells
C28		immune_cells
