Slice,SampleID,Final_area
20230730_HS_A17_258_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023C_T1_X1_D1_a21,3397191
20230730_HS_A17_258_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0023C_T1_X1_D1_a22,3820133
20230730_HS_AK17_11389_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022C_T1_X1_D1_a21,3841723
20230730_HS_AK17_11389_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022C_T1_X1_D1_a22,4275796
20230730_HS_AK17_11389_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0022C_T1_X1_D1_a23,3804198
20230802_IG_BUCMF4518_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005C_T1_X1_D1_a21,6628839
20230802_IG_BUCMF4518_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005C_T1_X1_D1_a22,7640048
20230802_IG_BUCMF4518_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005C_T1_X1_D1_a23,8387846
20230802_IG_BUCMF4518_s0_a4_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0005C_T1_X1_D1_a24,7999171
20230803_IG_AK16_10823_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021C_T1_X1_D1_a21,3525795
20230803_IG_AK16_10823_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021C_T1_X1_D1_a22,4549856
20230803_IG_AK16_10823_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0021C_T1_X1_D1_a23,4706276
20230803_IG_BUGOF4500_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009C_T1_X1_D1_a21,4620585
20230803_IG_BUGOF4500_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009C_T1_X1_D1_a22,3646979
20230803_IG_BUGOF4500_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009C_T1_X1_D1_a23,3497176
20230803_IG_BUGOF4500_s0_a4_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009C_T1_X1_D1_a24,3450342
20230804_HS_MB_BUVQU4575_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011C_T1_X1_D1_a21,2641608
20230804_HS_MB_BUVQU4575_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011C_T1_X1_D1_a22,3197770
20230804_HS_MB_BUVQU4575_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011C_T1_X1_D1_a23,2820627
20230804_HS_MB_BUVQU4575_s0_a4_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0011C_T1_X1_D1_a24,2152957
20230804_IG_BUUXX2173_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003C_T1_X1_D1_a21,2684387
20230804_IG_BUUXX2173_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003C_T1_X1_D1_a22,1119979
20230804_IG_BUUXX2173_s0_a3_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003C_T1_X1_D1_a23,3586980
20230804_IG_BUUXX2173_s0_a4_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_RE0003C_T1_X1_D1_a24,2041504
20230809_IG_BUBBC4523II_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0010C_T2_X1_D1_a21,3827996
20230809_IG_BUBBC4523II_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0010C_T2_X1_D1_a22,3705406
