SampleID	sample	NumberReadsInput	NumberReadsDecombined	PercentReadsDecombined	UniqueDCRsPassingFilters	TotalDCRsPassingFilters	PercentDCRPassingFilters.withbarcode.	UniqueDCRsPostCollapsing	TotalDCRsPostCollapsing	PercentUniqueDCRsKept	PercentTotalDCRsKept	AverageInputTCRAbundance	AverageOutputTCRAbundance	AverageRNAduplication
EPICC_RE0003C_T1_B1_Q1_alpha	dcr_MEM_0003_C_T1_B1_D1_alpha_n12_gz	782939	256094	0.327	1923	185615	0.725	280	365	0.146	0.002	96.524	1.304	508.534
EPICC_RE0003C_T1_B1_Q1_beta	dcr_MEM_0003_C_T1_B1_D1_beta_n12_gz	782939	113543	0.145	1902	84775	0.747	530	772	0.279	0.009	44.572	1.457	109.812
EPICC_RE0010C_T1_B1_Q1_alpha	dcr_MEM_0010_C_T1_B1_D1_alpha_n12_gz	626933	126719	0.202	821	91014	0.718	114	168	0.139	0.002	110.857	1.474	541.75
EPICC_RE0010C_T1_B1_Q1_beta	dcr_MEM_0010_C_T1_B1_D1_beta_n12_gz	626933	148023	0.236	1732	107122	0.724	212	273	0.122	0.003	61.849	1.288	392.388
EPICC_RE0012C_T1_B1_Q1_alpha	dcr_MEM_0012_C_T1_B1_D1_alpha_n12_gz	5194314	1002373	0.193	6283	744243	0.742	1076	2615	0.171	0.004	118.453	2.43	284.605
EPICC_RE0012C_T1_B1_Q1_beta	dcr_MEM_0012_C_T1_B1_D1_beta_n12_gz	5194314	1824273	0.351	15021	1392518	0.763	1882	5813	0.125	0.004	92.705	3.089	239.552
EPICC_NE0012B_T1_B1_Q1_alpha	dcr_MEM_0000_N12B1_alpha_n12_gz	1106	126	0.114	63	96	0.762	62	66	0.984	0.688	1.524	1.065	1.455
EPICC_NE0012B_T1_B1_Q1_beta	dcr_MEM_0000_N12B1_beta_n12_gz	1106	296	0.268	100	243	0.821	96	100	0.96	0.412	2.43	1.042	2.43
EPICC_NE0007A_T1_B1_Q1_alpha	dcr_MEM_0000_N7A1_alpha_n12_gz	140346	14841	0.106	622	12078	0.814	498	638	0.801	0.053	19.418	1.281	18.931
EPICC_NE0007A_T1_B1_Q1_beta	dcr_MEM_0000_N7A1_beta_n12_gz	140346	37184	0.265	1472	30059	0.808	956	1360	0.649	0.045	20.421	1.423	22.102
