Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
EPICC_NE0005C_T2_B1_Q1	0	0.087127566	0.352671566	0	0.461920488	0.484176589	0.153989668	0	0	0	0.079247893	0	0.491102051	0.078455065	0	0.538737362	0	0.193291978	0.550292283	0	0.008556623	0.174785091	0.01	0.193735465	3.654354223
EPICC_NE0006B_T1_B1_Q3	0	0.064436895	0.009187846	0	0	1.162384035	0.02687305	0	0	0	0.105143888	0	0.370042335	0.130945756	0	0.200539992	0	0.131387113	0.292223805	0	0	0.018845651	0.3	0.032186594	2.512010367
EPICC_NE0006B_T3_B1_Q1	0	0.152785088	0	0.114058034	0	1.041929043	0.034412077	0	0	0	0.040723418	0	0.313070197	0.049626945	0	0.136211263	0	0.058698251	0.124267061	0	0.005037007	0	0.1	0.088521605	2.070818385
EPICC_NE0006C_T2_B1_Q1	0.012467704	0	0.008426484	0.271253467	0	1.392628398	0.165191246	0	0	0	0.089050856	0	0.187478518	0.340849836	0.166843219	0.526456085	0	0	0.147646381	0	0.042302693	0.039198367	0.3	0.034930098	3.389793255
EPICC_NE0007A_T1_B1_Q1	0.019948525	0.148155006	0	0.041802654	0	1.53078939	0.103115339	0	0	0	0.053086397	0	0.053998797	0.329316731	0.095117054	0	0.081339268	0.046531799	0.15384882	0.019147719	0	0	0.14	0.068457808	2.676197499
EPICC_NE0007B_T1_B1_Q1	0.0321853	0	0.005563594	0	0.218239091	0.772303519	0.282948245	0	0	0	0.28048605	0	0.043431117	0.461832072	0.190197666	0.080441046	0.081129962	0.028085069	0.225275015	0	0	0.0005	0.37	0.026851019	2.702572976
EPICC_NE0008A_T4_B1_Q1	0	0.160938928	0	0	0	1.266100228	0.043843202	0	0	0	0.274757784	0	0.342784932	0.294605668	0.056702874	0.117183459	0.044212902	0.181721528	0.244600496	0.053699294	0	0.165897685	0.11	0.080709317	3.247048981
EPICC_NE0008C_T2_B1_Q1	0.079817571	0	0.072958447	0.087590739	0	1.271983326	0.044342793	0	0	0	0	0.026319003	0.24776433	0	0.205341659	0.647026356	0.007887305	0.106353395	0.534004717	0	0.045872802	0.07940263	0.18	0.060935022	3.456665073
EPICC_NE0009A_T1_B1_Q1	0	0.01434878	0	0.005542001	0.187775705	0.325546889	0	0	0	0	0	0	0.079240014	0.283728914	0	0	0	0.038404226	0	0.241918855	0	0.108278835	0.4	0.02518543	1.284784218
EPICC_NE0009B_T1_B1_Q1	0.0003	0	0.001435428	0.076256703	0.243693889	0.4658571	0	0	0.006382375	0	0.105282538	0	0.150235889	0.217202949	0.001064719	0.012922711	0	0	0.307228949	0.0009	0	0	0.46	0.01810245	1.588763112
EPICC_NE0009C_T1_B1_Q1	0.060597082	0	0	0	0	0.844315312	0	0	0	0	0.170457814	0.003514919	0.496909441	0.001571878	0.017309967	0.747984641	0	0.091633443	0.54347697	0	0.018594228	0.156072559	0.06	0.101675161	3.152438254
EPICC_NE0010A_T1_B1_Q1	0	0.001011813	0	0.228038644	0.291837607	0.206934535	0	0.254515818	0	0	0.328314755	0.045351104	0.039388263	0.228076288	0.142762282	0	0	0.263057922	0.203674916	0	0	0.005300534	0.46	0.01715355	2.238264481
EPICC_NE0010B_T3_B1_Q1	0	0.614405434	0	0.560234552	0.176042374	0.39838572	0.022758075	0	0	0	0.105808505	0	0.081792403	0.188743609	0.164423231	0.032032453	0	0.029181927	0.010040813	0	0	0.007630562	0	0.318679244	2.391479658
EPICC_NE0010C_T1_B1_Q1	0	0.290002934	0.129501236	0.225973872	0	1.092308012	0.088093468	0	0	0	0	0.040677393	0.251863848	0.164748735	0.014204677	0.585951408	0	0.066104354	0.59797725	0	0	0	0.01	0.167337577	3.547407187
EPICC_NE0010C_T2_B1_Q1	0	0.582224877	0.137211421	0	0	1.949184618	0	0	0	0	0.169451485	0.030340128	0.260614986	0	0	0.679936707	0.018071892	0.020687305	0.602068097	0	0	0	0.01	0.203189185	4.449791517
EPICC_NE0012A_T1_B1_Q1	0	0.030607545	0.068708363	0	0.138634817	0.378608756	0.04112791	0	0	0	0.170747332	0	0.015970342	0.204259644	0.061899099	0.162916752	0.167563173	0.04384116	0.166036895	0	0	0	0.11	0.078626971	1.650921787
EPICC_NE0012B_T1_B1_Q1	0	0.075159146	0	0	0.074428666	1.096247094	0.100347362	0	0	0	0.135325238	0	0.241903964	0.127051087	0	0.265761951	0	0.162437967	0.1202314	0	0	0.028067706	0.01	0.179481447	2.426961582
EPICC_NE0012C_T1_B1_Q1	0.209993521	0	0	0	0.097658227	0.784597248	0	0	0	0	0.034009389	0.081626438	0.248861483	0	0	0.726325571	0	0.005083092	0.376438229	0	0	0.030468658	0.06	0.091779731	2.595061855
EPICC_NE0020A_T1_B1_Q1	0.001096119	0.010271064	0.002292255	0.022681223	0.167779816	0.384043664	0	0	0	0	0.20866302	0	0	0.427776435	0	0	0	0.042350484	0	0.399376678	0	0.484063504	0.01	0.164018137	2.150394263
EPICC_NE0020C_T1_B1_Q1	0.05977173	0	0	0.140339608	0	1.540983022	0.151093277	0	0.024347641	0	0.166272213	0	0.334235654	0.323604086	0.009552189	0.473529126	0.115956936	0.141512598	0.658759193	0	0	0.009252585	0.35	0.028985494	4.149209857
EPICC_NE0021A_T2_B1_Q1	0.010226906	0	0.009869407	0	0	0.117464434	0.004626054	0	0	0	0.026937985	0	0.108790996	0.033672831	0	0	0	0.026198141	0	0.002449003	0	0.078255896	0.2	0.057568886	0.418491653
EPICC_NE0021B_T1_B1_Q1	0	0.016752245	0	0	0.207476209	0.624175246	0	0	0	0	0.186383332	0	0.030960418	0.043360466	0.076231304	0.317613664	0.060993379	0	0.590969682	0	0	0.115231253	0.62	0.00366565	2.270147197
EPICC_NE0021C_T1_B1_Q1	0	0.123061115	0	0.059657155	0	1.129191555	0	0	0	0	0.150634669	0.037864132	0.317778114	0	0.022848858	0.433001511	0	0.087999762	0.665944387	0	0	0	0.12	0.073075357	3.02798126
EPICC_NE0022A_T2_B1_Q1	0	0.1371673	0	0	0.013636446	0.370056524	0	0	0	0	0.035235411	0.047410504	0	0.083702381	0.013108435	0.086217491	0	0.138683541	0.21603649	0	0	0.303101526	0.06	0.096751474	1.44435605
EPICC_NE0022B_T1_B1_Q1	0	0.040109686	0	0	0	0.639610824	0	0	0	0	0.030102297	0.070555992	0.107868654	0.0008	0.01947439	0.284440176	0	0.144351789	0.435319616	0	0	0	0.47	0.013931897	1.772655386
EPICC_NE0022C_T1_B1_Q1	0	0.101042361	0.082271848	0.155515975	0	2.044555379	0.438314958	0	0	0	0.311773288	0	1.172884925	0.499663193	0.485126489	0.841978603	0.080875101	0.300043858	0.555258474	0	0	0.424496921	0.36	0.028225139	7.493801374
EPICC_RE0002A_T4_B1_Q1	0.002281219	0.004907935	0.003835879	0	0.169914602	0.587831221	0.028949956	0	0.02459104	0	0.349501813	0	0.158808774	0.521513143	0.019321965	0	0	0.015410243	0	0.43328711	0	0.491725929	0.01	0.233389626	2.811880828
EPICC_RE0002B_T1_B1_Q1	0	0.044002996	0.014493166	0.261575492	0	0.22967016	0.560422499	0.111200682	0	0	0.025744566	0	0.166928094	0.355486894	0.081996963	0.0945116	0.093936264	0.232640375	0.287475309	0	0.025182172	0.110263239	0.23	0.047323813	2.695530473
EPICC_RE0003A_T1_B1_Q1	0.003369987	0.052090396	0	0.123108953	0.124408198	0.866637143	0	0.043604251	0	0	0.486026614	0	0	0.914160749	0.0159381	0.031225335	0	0.035158573	0	0.308443305	0	0	0.06	0.097235667	3.004171604
EPICC_RE0003B_T2_B1_Q1	0.112596332	0	0.011255349	0.329042488	0.323330008	0.625688244	0.330193623	0	0	0	0	0	0.051620858	0.282713298	0.039577719	0.303326388	0.112534369	0.111407982	0.22939309	0	0	0	0.11	0.085799497	2.862679747
EPICC_RE0003C_T1_B1_Q1	0	0.246450031	0	0.412072098	0.042967377	2.049141201	0.038301189	0	0.006768774	0	0	0.143961398	0.209754208	0.172863173	0	0.063305955	0	0.052587729	0.294791817	0	0	0.042714841	0.07	0.090662839	3.775679789
EPICC_RE0004A_T2_B1_Q1	0	0.107022336	0.016477237	0	0.204208169	0.960508599	0.093861521	0.066697839	0	0	0.347724091	0	0.006461402	0.41014356	0.028195167	0.01288754	0	0.00198453	0.079683835	0.032748952	0	0	0.2	0.052772491	2.368604778
EPICC_RE0004B_T3_B1_Q1	0	0	0.001835854	0.071803583	0.202163641	0.900095302	0.160792317	0	0.010489771	0	0.30392276	0	0.492359736	0.619422957	0.198045297	0.300307072	0	0	0.099155384	0	0	0	0	0.266129154	3.360393675
EPICC_RE0004C_T1_B1_Q1	0	0.545645895	0	0	0.306642475	1.131936093	0.180656141	0	0	0	0.062312033	0	0.455957202	0.241146269	0.043931165	0	0	0.036297661	0.456247484	0	0	0.030669806	0.01	0.194364094	3.491442223
EPICC_RE0005A_T1_B1_Q1	0	0.21459436	0.015658895	0.079279738	0.841431942	0.209329663	0.023231502	0	0	0	0.12876316	0	0.06767094	0.293695747	0.155242211	0.013032385	0	0	0.100888378	0	0	0.398040456	0.06	0.100369461	2.540859375
EPICC_RE0005B_T1_B1_Q1	0.005537383	0.048257575	0	0	0.397602147	0.279870522	0.015796117	0	0	0	0.138864366	0	0.254961669	0.196977614	0.068147555	0	0	0	0	0.041447217	0	0	0.11	0.077581565	1.447462166
EPICC_RE0005C_T1_B1_Q1	0.075911986	0	0	0.211688638	0.381242941	0.748167332	0.046218802	0	0	0	0.221738914	0	0.063040539	0.391501155	0.01407539	0	0	0	0	0.077402778	0	0.206756478	0.34	0.029132418	2.43774495
EPICC_RE0006B_T1_B1_Q1	0.052689588	0	0	0	0.356091794	0.328051631	0.101364433	0	0	0	0.36064836	0	0.07898482	1.06470695	0.051648049	0.069881547	0	0.100829376	0	0.307929794	0	0.489607504	0	0.313528766	3.362433845
EPICC_RE0006C_T2_B1_Q1	0	0.725413755	0.048152659	0.059737552	0.500541591	1.56351203	0.020445553	0	0	0	0.349743438	0	0.250534085	0.082285194	0	0	0	0.092250349	0.153061147	0.035599712	0	0.016149003	0.01	0.21819081	3.897426067
EPICC_RE0006C_T3_B1_Q1	0	0.20792761	0	0.130863675	0.045254089	1.648557237	0.255980602	0	0	0	0.533346955	0	0.235550913	0.09421173	0.018301028	0	0	0.059330675	0.081027435	0.088512767	0	0.06562764	0.2	0.056824042	3.464492356
EPICC_RE0007A_T3_B1_Q1	0.024714942	0	0.037053273	0.0008	0.221618592	0.273076725	0	0	0	0	0.036117267	0.007684607	0.077539273	0.039415998	0.0003	0	0	0	0.234660042	0	0	0	0.11	0.079387674	0.953005138
EPICC_RE0007C_T1_B1_Q1	0.240120448	0.465735877	0	0	0.215769011	1.513604585	0.098589859	0	0	0	0.255496826	0	0.238375846	0.495540347	0	0.081809034	0	0.019714737	0.19415081	0.048726776	0	0	0.01	0.214158133	3.867634157
EPICC_RE0008A_T1_B1_Q1	0	0.109967313	0.014867707	0	0.160638925	0.582538448	0.043509422	0	0	0	0.288411281	0	0.013851372	0.470429282	0.018255247	0	0.085859412	0.016145398	0.067550336	0.205609802	0	0.127452299	0.13	0.070228961	2.205086244
EPICC_RE0008C_T1_B1_Q1	0.27616989	0.580744993	0	0.22055587	0.378299732	1.699805087	0.036326482	0	0	0	0	0.031957576	0.160714527	0.037362794	0.049011292	0.282067642	0	0.032287029	0.749385659	0	0	0	0	0.244369498	4.534688572
EPICC_RE0008C_T2_B1_Q1	0.120110397	0	0	0.037456457	0	1.471543783	0.006071901	0	0	0	0	0	0.159521669	0	0	0.14693103	0	0.060365152	0.474146232	0	0.115393703	0.334934099	0.01	0.19245624	2.926474423
