chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	16856	2591413	0.498815554871805	138	0.127143530137784	0.906382033467857	14141	0.310670769479504	1	1	0	-6.85485982511024
chr1	2652246	2653136	0.498177848179485	11	0.192079576312433	0.0216756055025349	31	0.0214193661743719	0	0	0	-12.1483395744865
chr1	2653217	2759661	0.0365283063540832	45	0.105955956163232	0.0102013520102155	123	0.00580710866056437	20	20	0	-36.9800946796205
chr1	2783572	16056617	0.453683495874338	544	0.102850981617844	1.00818892615793	37619	0.368647805024341	2	1	1	-6.86489244639568
chr1	16057086	16604860	0.287746392099946	75	0.127967890116626	1.06254984745495	2970	0.476451238626834	5	5	0	-6.81844100455705
chr1	16604995	16619178	0.19893759319271	13	0.112382074946278	0.509730083101107	202	0.387844151887574	11	11	0	-6.83699187512723
chr1	16620040	16645367	0.49850141064732	51	0.151899889633233	0.703823827501002	824	0.388900742072934	0	0	0	-6.73501019481646
chr1	16645453	31698605	0.496689912174437	539	0.101238038450999	0.956975269388439	44965	0.338421915817096	1	1	0	-7.05696483034982
chr1	31699894	46817833	0.388017640877551	457	0.117500096299651	1.20288582984442	55294	0.444793204359066	4	3	1	-6.79810773652732
chr1	46818854	121373922	0.498911016384788	1033	0.094000539100308	0.986680035128158	90236	0.395153210719619	2	1	1	-7.0875239891291
chr1	123059016	124514168	0.0344776956330273	17	0.141437265245055	0.00869087347950429	165	0.00664656244335203	16	16	0	-43.9641241504208
chr1	125179343	143267121	0.0260549533354167	32	0.138550092111819	0.00536979588810313	235	0.00508288099549878	18	18	0	-53.6914430283958
chr1	143267252	144104659	0.4978993298569	15	0.194565254080059	0.760175039036192	822	0.427625237065572	0	0	0	-6.74341089928854
chr1	144426381	248812149	0.498921404616928	2204	0.103601441051477	1.09109121752767	218942	0.41706332146122	3	2	1	-7.27365751750491
chr2	242793	37065747	0.498901783281424	462	0.0980763440642457	1.05510819255691	51405	0.397262884899285	2	1	1	-6.86318003640922
chr2	37068982	37963711	0.497992411298306	11	0.208373440987787	1.08054063841342	1769	0.499451273662355	2	1	1	-6.73950206284722
chr2	37981463	86942348	0.48153033198803	682	0.095183796205292	1.11029861786078	61959	0.402991575791908	3	2	1	-6.84669860057794
chr2	86942370	87973085	0.497970560172422	13	0.202192501572901	0.97358602132221	638	0.644308314829933	2	1	1	-6.73675245468463
chr2	88124547	89286862	0.483206937785682	49	0.0966295348576341	0.932772323757037	2932	0.367281046581079	2	1	1	-6.7949349544776
chr2	89581083	89765070	0.295951299724979	9	0.099154481044031	0.792840619425137	329	0.502233631636248	5	5	0	-6.85417514173801
chr2	89827973	89841074	0.0104245964284543	30	0.107920687139416	0.00739335724642089	69	0.00541870084435187	20	20	0	-31.6754835063492
chr2	89851541	90315431	0.499196265373497	30	0.088414904865067	0.898797993380309	1280	0.341256146587046	0	0	0	-6.75991345794093
