chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	13668	102228651	0.273537031563341	3089	0.0906372108283098	0.862754346362436	165297	0.249115206543377	2	2	0	-12.1367926694127
chr1	102940237	121564769	0.332507880845304	383	0.0877541185736838	0.764302313142517	24400	0.215036734831091	1	1	0	-7.1605813236782
chr1	125183675	146984802	0.379581907080557	64	0.130207827618066	1.18248780964174	5559	0.374397768705724	3	2	1	-6.83504805628459
chr1	146986415	227434234	0.420880264856811	2258	0.0814153214891101	1.21322600652782	153679	0.370613568483597	3	2	1	-6.78153520458579
chr1	227493082	233259468	0.249406827812726	230	0.0993525030359204	1.0685934598811	11076	0.499193455571885	2	2	0	-6.84601337323974
chr1	233262006	248936715	0.39376308395023	438	0.0906851291567595	1.25320139322209	22556	0.403033376315674	3	2	1	-6.77861909233708
chr2	154428	68024002	0.498886730700301	1123	0.077053344811119	1.11724575386772	74829	0.342008311943404	3	2	1	-9.49660005451311
chr2	68042936	91974034	0.498831769459979	597	0.0993642067302208	0.880011503305971	28242	0.266202383861912	2	1	1	-8.35666518464671
chr2	94195995	241875962	0.498935490836027	2994	0.0818109753710455	1.00173459926767	182252	0.299775350272514	2	1	1	-7.35385175332703
chr3	197562	8680057	0.459158459285258	109	0.0571297189825887	1.0198386128963	4524	0.305376986903276	2	1	1	-7.13049703976807
chr3	8680078	8682691	0.180342619653082	9	0.118555308236751	1.07057969672478	32	0.206311813806503	4	4	0	-6.74459924771514
chr3	8683411	38396966	0.49905318625141	591	0.0662359350203131	0.997771021062913	34452	0.282843928741173	2	1	1	-6.84372070629097
chr3	38524490	41484752	0.342321123799681	53	0.0820412521461065	1.46790717201864	5828	0.404438791178989	4	3	1	-6.74032546367551
chr3	41565897	75416934	0.498925709871542	718	0.0711901375153879	0.997366213727331	61560	0.266473468595567	2	1	1	-6.86941773579298
chr3	75418163	75669435	0.483933654418643	44	0.0852768033663845	0.996192441945912	501	0.32385440023396	2	1	1	-6.75487945260562
chr3	75701344	75738551	0.182709754569969	9	0.0242177620766247	0.864508397080656	181	0.264507569625513	3	3	0	-7.06178750467404
chr3	77129702	88949992	0.498837340601999	70	0.0877903110619623	1.02618523191625	2910	0.435112014200431	2	1	1	-6.82740409323445
chr3	93470540	198038561	0.498928828929083	1882	0.0748646772003083	1.00723532549759	115498	0.301831905231677	2	1	1	-7.36376079886824
chr4	295483	8606079	0.498845222875753	493	0.0859320895105655	0.869858669237018	18794	0.260151776311778	2	1	1	-7.57321688750126
chr4	8975589	9584015	0.353130263692242	55	0.0986573603309695	1.14813513783377	678	0.461103841169132	4	3	1	-6.85649009127784
chr4	9693038	49243007	0.461853345252769	533	0.0909638237807033	0.882663211200093	24449	0.268119283629801	2	1	1	-9.06610977684916
chr4	53495925	164929654	0.458782383919177	1459	0.0850583079435113	0.883709732311953	80914	0.273196819547247	2	1	1	-10.9701503219917
chr4	164957457	190179679	0.340304342224818	309	0.106101875246878	0.745763277935227	14528	0.234061029249517	1	1	0	-6.83420441868774
chr5	169246	46009635	0.49888323999095	928	0.0843270331188534	1.25573756558495	39469	0.425384897747224	3	2	1	-7.58954684776865
chr5	49601562	132011827	0.295729277451898	1313	0.0955592722980521	0.834615624505613	59051	0.255102647459032	1	1	0	-11.8764860037295
chr5	132060639	181282668	0.320104227042245	1291	0.0881805230692184	0.763738493762821	68398	0.213806794368393	1	1	0	-7.74666867487936
chr6	188609	32553958	0.498920686429233	1340	0.0764773567184733	0.997346289467457	48859	0.28020400991923	2	1	1	-6.85111473186615
chr6	32554008	32660844	0.315952870482833	117	0.100653607429025	0.966479809975939	366	0.24790977268629	1	1	0	-6.83057914957023
chr6	32660921	60873573	0.49891976627342	841	0.0801911809522698	1.01660851528901	48618	0.276515536392248	2	1	1	-7.08695023646209
chr6	61586824	80294176	0.480433652064584	273	0.0818717451542368	1.0549512925007	12533	0.406371589088701	2	1	1	-7.15644301351823
chr6	80365901	89059581	0.382896976266163	138	0.0886140461189748	1.43492350427338	8098	0.509278799049496	4	3	1	-6.9228433163313
chr6	89059756	96551344	0.499242890536977	87	0.0728207218086034	0.972727556474499	4485	0.306207670905607	2	1	1	-6.73350846327731
chr6	96610698	99567042	0.313021631407195	40	0.0956668866699874	1.4948496861124	2371	0.56273795278127	4	3	1	-6.76248949308537
chr6	99800140	103709314	0.191717868939406	70	0.066173834689517	2.77100996319784	2778	1.38345869841242	9	8	1	-6.74770821359529
chr6	104018338	106995535	0.0854373485639869	164	0.0813893202909897	5.31432132962189	9509	4.44100036675279	20	19	1	-6.73574876063467
chr6	107044172	137493915	0.458670603957832	429	0.0770972052966199	0.932735134738542	27849	0.281895088392189	2	1	1	-7.33206139521098
chr6	137544329	137995571	0.498144828348145	9	0.180157184455994	1.75843471102415	436	3.33741451197386	6	3	3	-6.73335629677963
chr6	138092132	170640200	0.470643587962129	786	0.0754383435661546	1.0641143115803	35779	0.337385992033665	2	1	1	-7.89853634448231
chr7	50462	8152785	0.127646495520924	567	0.0794834608553354	1.74364274961313	23529	0.856280443378026	5	5	0	-6.75786583583759
chr7	8218648	58088560	0.15989978910639	1200	0.0782343683830992	1.53838212123831	56050	0.549108179585387	4	4	0	-6.97569025143236
chr7	60957564	64920468	0.159483874580371	66	0.12839317528283	1.14474973603916	2580	0.435548291447493	3	3	0	-6.84191105052747
chr7	64928711	96080354	0.211041439088822	597	0.0983416822176117	1.1497431038885	35564	0.405050864360615	3	3	0	-7.11176343233794
chr7	96097702	100951722	0.18172250804859	197	0.0675779206162188	1.24138256255541	17243	0.371394966570132	3	3	0	-6.78328143571629
chr7	100951933	100969850	0.386351264149591	286	0.0767330706221312	1.14788071183314	1484	0.16350317923572	3	2	1	-6.75342535654771
chr7	100970227	100976343	0.111363762019286	9	0.0294425051772282	1.59789739870098	37	0.520235008399054	7	7	0	-6.73444064753949
chr7	100981437	118192084	0.195558681472638	368	0.0867721174102069	1.11473138531331	22684	0.368287847321762	3	3	0	-7.29335604893791
chr7	118234254	159232490	0.288339409408736	1074	0.0935917496583082	0.841279878739453	51117	0.263412534673934	1	1	0	-10.4520030047016
chr8	213553	5476890	0.326926285995098	146	0.096862285549293	0.708079984523129	3016	0.209049088486398	1	1	0	-6.81242205283848
chr8	6352233	7297697	0.163999183933342	38	0.0679366756022981	1.2380328653667	1220	0.45162971434099	4	4	0	-6.81074060450812
chr8	7402554	8191634	0.498478950604294	54	0.158829413741479	6.17878613407995	1401	4.37664649188149	20	10	10	-6.73357670514557
chr8	8203761	10725996	0.0745555956945839	85	0.0912173613014601	3.1910538777141	5329	2.4668059461775	11	11	0	-6.73344408688337
chr8	11209436	12062252	0.0402495030393892	110	0.0445320437336897	7.488930495217	5811	5.48118435780322	20	20	0	-6.74310800348931
