chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	13273	32691006	0.298368199978259	1748	0.0978916942424268	0.895137696653009	95854	0.251460604567762	2	2	0	-6.73535615580239
chr1	32732819	124250799	0.412907427298849	1670	0.0870560425232616	1.08432508932827	148429	0.298114003628625	3	2	1	-6.82259989373632
chr1	125094607	248911738	0.412362181765972	3054	0.0844048323152972	1.07657227426282	218880	0.29015872432658	3	2	1	-6.75551285867012
chr2	224919	55224497	0.357906575976656	1188	0.0876078998248177	0.977392136162303	73249	0.272426142011913	2	2	0	-9.37044423592232
chr2	55224878	91974033	0.464450241041437	705	0.0974871538430067	1.10814860846296	50229	0.325658918998473	3	2	1	-7.10223654932795
chr2	94195995	122772837	0.41503238576372	695	0.0958297683753482	1.08730568641023	44357	0.313369880375018	3	2	1	-6.77120029567291
chr2	123186994	140902726	0.483578935732455	399	0.0789686184966578	0.887709263627537	18592	0.26331924755331	2	1	1	-6.76382816858089
chr2	140950125	242063016	0.416502362490273	2281	0.0835060355563705	1.08207886657055	163018	0.28858786276537	3	2	1	-6.80472100339328
chr3	176516	49369275	0.413033027176543	1329	0.082398055591493	1.08414163424279	85908	0.294593753941554	3	2	1	-6.78185069991605
chr3	49413016	89472543	0.311790286718318	612	0.0996253029929538	0.899964353248981	46875	0.247649978692623	2	2	0	-6.76650642217362
chr3	91483878	94348945	0.256814970731741	10	0.112021277740734	1.22304026682643	1036	1.2180417946413	3	3	0	-6.75550323476349
chr3	96350804	141287554	0.302269685667002	1118	0.0905472686173481	0.901389365593475	64489	0.248766227991652	2	2	0	-6.77328786393919
chr3	141340669	190876663	0.498883251514208	765	0.0864985744443144	1.01800445555642	54422	0.305215572266248	3	2	1	-7.96549020950675
chr3	190920632	198157341	0.325415585734848	498	0.0989324214255111	1.07586567105611	16273	0.327239059106341	3	3	0	-7.06359186676657
chr4	53100	49098653	0.435313659637237	1121	0.0838895535061439	1.06547645665733	58963	0.313182180466918	3	2	1	-6.7715326245467
chr4	49109748	49157790	0.196883610023149	33	0.150527412433548	0.632476793210606	228	0.301436320379341	4	4	0	-6.88473429204026
chr4	49157798	49657645	0.325356716492508	31	0.14413922481071	1.20297384812096	137	0.436642678739175	4	3	1	-6.76436874487893
chr4	51848078	182732071	0.438039224464972	1735	0.0853083263257679	1.08418958546158	121633	0.315445702004132	3	2	1	-6.88070124895339
chr4	182743369	189984870	0.498869619326067	171	0.0947665895848742	0.886489393404553	9015	0.270899563886242	2	1	1	-6.73607197996984
chr4	189984902	190179746	0.249438071505354	27	0.146554356766285	0.86430712333547	216	0.268496849363269	2	2	0	-6.80531271866035
chr5	163090	45891317	0.291756475486057	825	0.10058559369667	0.901221110157495	39899	0.264039756894875	2	2	0	-6.77172393372056
chr5	49601562	49666191	0.403694484954066	47	0.164343678273136	0.46902629645535	330	0.194868374391379	1	1	0	-6.9266316622745
chr5	50402346	181283362	0.295539439829268	2469	0.092989653544365	0.900941025205644	159950	0.250739019711903	2	2	0	-6.83614303955655
chr6	142840	32518214	0.419621588434402	1302	0.0838027620422332	1.07872421061106	61519	0.306826396552095	3	2	1	-6.74351212477635
chr6	32518260	32759325	0.307901405457472	238	0.104266231819446	1.1131775250789	847	0.306655305486571	2	2	0	-6.81042930119355
chr6	32813180	60544763	0.414855386223474	931	0.0799308820848369	1.09312803494707	60070	0.280388365306102	3	2	1	-6.81797235457601
chr6	61182047	170640022	0.477567302958066	1719	0.0824746295183237	1.22322325016347	125415	0.359581198475295	4	2	2	-7.00447784080106
chr7	20850	41978792	0.498915495604612	1152	0.0853131824544743	0.908180707206987	49705	0.26764504396214	2	1	1	-6.83423283097224
chr7	42023619	58088536	0.440015215687621	474	0.0872213320106358	1.08004254330661	21405	0.315821348937665	3	2	1	-6.78204812319845
chr7	60957564	100960738	0.423060413377719	1078	0.0896676990143665	1.06940274139739	64251	0.306899147473441	3	2	1	-6.73690791999066
chr7	100960849	100965685	0.256026972321381	49	0.0924132062005864	0.99976343773586	164	0.213136196260787	3	3	0	-6.73588597425749
