chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	14653	16031653	0.498897087290845	814	0.0819309663537272	1.04764142420763	48389	0.542134525008441	2	1	1	-6.89443016749148
chr1	16032190	16947199	0.498743852502903	263	0.106346468888991	1.08318333742125	5159	0.539344351498712	2	1	1	-6.75367307371147
chr1	16954508	121374211	0.498919904387707	2539	0.0799987303886914	1.08312120251868	183853	0.573141507469674	3	2	1	-7.03258757426156
chr1	143498892	152109445	0.498820766197134	280	0.107415756712256	1.07146029379093	23913	0.545463237449114	2	1	1	-6.88171214286113
chr1	152155645	152307968	0.277659080057512	19	0.116879830325177	0.503315539496172	1273	0.429502627045343	4	4	0	-7.11981240428504
chr1	152412357	248855670	0.498913361117221	2527	0.0815420558335495	1.06566916549114	174992	0.547850128612168	3	2	1	-7.15308504909011
chr2	294734	33727554	0.498903531385181	709	0.0795924322308431	0.954582358348387	44809	0.507130766702636	2	1	1	-6.77009907487915
chr2	33733508	35633661	0.32522605084202	28	0.0861812643064623	1.85350717781908	211	0.781484004846381	9	7	2	-6.73865604060128
chr2	36441252	87149821	0.498902378792377	932	0.0772729501240371	1.00391287395206	60175	0.554933171897219	2	1	1	-6.81263340845173
chr2	87401658	87972714	0.313089399681302	26	0.101650963898718	1.41843494325233	297	0.867191617695767	7	6	1	-6.74036004839487
chr2	87973279	90221325	0.498878274276799	81	0.106768338408068	0.896299937542887	4094	0.58949014961546	2	1	1	-6.76090066387651
chr2	90234102	91963698	0.423693290905399	53	0.120207431385219	1.29291108105364	989	0.842093646618263	6	4	2	-6.75746880677523
chr2	94195995	97576286	0.491630900211692	217	0.105792609821682	1.02504234748356	10161	0.618287949753847	2	1	1	-6.74969182723304
chr2	97578750	242094853	0.498932376047602	2908	0.0796164343463656	0.965921796214167	188516	0.491388893703418	2	1	1	-6.76901350629362
chr3	51248	90234801	0.468026131891264	1404	0.0831516996983597	1.0664134410068	128602	0.546685533461618	3	2	1	-6.92778174314533
chr3	91483878	195778546	0.470281765863567	1997	0.085788573912325	1.10057034027322	123711	0.627865566096803	3	2	1	-6.78811630745356
chr3	195778793	195788723	0.451208981569878	61	0.0679233093737647	0.524507233290975	1217	0.0939553057659693	1	1	0	-6.95496702285631
chr3	195789759	198169929	0.499026369534692	162	0.0864171994868484	1.13463087598563	6784	0.622184557570095	4	2	2	-6.75226936996174
chr4	254036	49555834	0.385912069237925	980	0.0936470294251554	1.01772438819311	52361	0.56839626357631	2	2	0	-6.90006418017071
chr4	51848078	190179746	0.388610591264154	1869	0.0933813617983379	0.97770379273953	110769	0.54044126032469	2	2	0	-6.74700039931967
chr5	163090	46206800	0.303320758758871	946	0.0974959428787408	1.21530323049606	42447	0.789814484397342	4	4	0	-6.73426901667026
chr5	49601562	181282687	0.350229654505502	2449	0.0925588491388094	1.07006799722848	161557	0.603329073277288	3	3	0	-6.88996506041066
chr6	147596	31197661	0.332277068681335	801	0.0891333973952019	1.07524531218174	44342	0.632666334705801	3	3	0	-6.75277590608884
chr6	31198059	31399246	0.269153332904164	75	0.0859893142324217	1.72966782405743	447	0.789954309366516	9	8	1	-6.73413870575965
chr6	31400763	32530257	0.305133491496543	279	0.0985113647076351	1.19804324110785	12802	0.489114010012239	4	4	0	-6.73555668172269
chr6	32530312	33085390	0.331024464427432	213	0.093462890478181	1.12643609793155	2493	0.481137223614296	3	3	0	-6.73436250361128
chr6	33085678	60873573	0.314335493450654	815	0.0906178059894081	1.16692760729517	56786	0.581999851176071	4	4	0	-6.84233304834013
chr6	61156130	112136188	0.414606515505142	597	0.0874980127482224	1.24495739962389	45026	0.742168546641961	4	3	1	-6.77318870666881
chr6	112136269	170640200	0.336503019688021	1121	0.0880468931704407	1.092985227465	64070	0.629331699446426	3	3	0	-6.73538749204247
chr7	31273	56823373	0.498903647769528	1209	0.0849728285253371	1.1236232579865	70783	0.651836643128338	3	2	1	-7.01356039345235
chr7	56825272	58088579	0.337192252355237	33	0.124977361586373	1.26096336698343	797	0.646623863962172	5	4	1	-6.7667175315675
chr7	60993174	65970805	0.49879986688759	104	0.102550051078006	1.29357619545968	4236	0.701102018193757	4	2	2	-6.75412696515153
chr7	66010392	100891037	0.498895954514247	764	0.0909191835288335	1.19151710688626	56968	0.680342207675298	4	2	2	-6.75750017528738
