chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	16957	782105	0.353900186734418	13	0.093573157996489	0.975205074612766	189	1.18838916820049	3	2	1	-6.74945004926954
chr1	873251	12893137	0.144665918036975	723	0.0893408250343577	0.564308751038957	28081	0.15262076207727	2	2	0	-11.4598596176492
chr1	12893335	13307108	0.49861729970799	54	0.130489559571763	0.566384298082911	721	0.143254235975697	2	1	1	-7.13705683336519
chr1	13307338	16490815	0.135853110367753	188	0.0924615500680312	0.579519747689511	6496	0.162659520622271	2	2	0	-8.26691607496048
chr1	16538908	16948577	0.498629293033375	126	0.136102142781961	0.599024503874644	1993	0.234800893211599	2	1	1	-6.8109744971673
chr1	16960919	31815009	0.145140863813005	744	0.0839663151067496	0.58583346018336	31644	0.161370170048145	2	2	0	-10.6994851976903
chr1	32073181	47031365	0.33472249736467	482	0.08770101415206	1.41097366091502	52099	0.43008693622869	5	3	2	-7.1876991580538
chr1	47038545	47269608	0.183247518303871	30	0.0682530450670118	0.5791585757852	599	0.131272572173243	2	2	0	-7.13153661482736
chr1	47287733	77568301	0.35824716401401	618	0.0895142403286903	1.45438431660328	40857	0.473088777827549	5	3	2	-7.02445726947531
chr1	77626374	82569296	0.0871937293882404	44	0.076127171197301	1.05592088778724	3134	0.307953684130095	4	4	0	-7.04632727200749
chr1	83436983	96679606	0.152615777680271	242	0.0812491302219644	0.66790132582229	13373	0.215416969813741	2	2	0	-6.83688579689457
chr1	97235033	100615702	0.363056935598139	54	0.0975332371809554	1.32613096397823	3696	0.553419705225206	5	3	2	-6.91921361108052
chr1	101238940	106412772	0.167263511929638	43	0.0977032651333553	0.616916518009149	1802	0.216473861893761	2	2	0	-7.40210352526474
chr1	106412887	110197651	0.499334397726566	112	0.0605195165931982	1.01502799190638	8456	0.242339767290452	4	2	2	-7.42754898369388
chr1	110198066	110894507	0.143976646624807	9	0.0639100930996036	0.712238913033383	908	0.246478621718808	2	2	0	-6.74421187330703
chr1	110950185	112703607	0.263841694821876	98	0.0638931501082825	1.037057709423	3756	0.266819383708613	4	3	1	-7.05841033281405
chr1	112890674	115857805	0.157934088863925	89	0.0981030627937778	0.621997944984774	4397	0.159759258250347	2	2	0	-7.31926080860644
