chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	15820	2645196	0.498852017726157	157	0.12962589231396	0.984315426765978	11738	0.376360659908461	2	1	1	-6.75851099889478
chr1	2652208	2759620	0.0388291105636461	35	0.173055463009149	0.0129839669182472	119	0.00866669862202356	13	13	0	-33.9482418522299
chr1	2783572	12841144	0.498886918998602	274	0.140505308743047	1.02782442363151	20895	0.40657024577667	2	1	1	-6.73385169807625
chr1	12847596	13105612	0.270959856554688	69	0.104165446881179	0.922906698068296	739	0.443704925246202	7	7	0	-6.91939552571944
chr1	13176222	16409637	0.498819000201333	190	0.110138463902739	0.96298768916279	7679	0.366501698588164	2	1	1	-6.80264255126853
chr1	16490636	16645453	0.498465986454703	55	0.142695673441262	0.663770262787828	828	0.292997888777252	0	0	0	-6.7965520985261
chr1	16645572	34757744	0.468905525841464	543	0.109178960995452	0.984916438574134	40904	0.39620183024969	1	1	0	-6.89930007027058
chr1	36055573	36471331	0.498184418279225	10	0.225205313732455	1.0828265311085	1828	0.403162919260583	2	1	1	-6.73652872075746
chr1	36859082	121096208	0.498885249485397	1080	0.111725085347372	1.01588265109918	92999	0.430243942314754	2	1	1	-6.8049607781114
chr1	122865740	124726050	-0.000862595890242068	10	0	0.0107537343630105	127	0.00684825800260849	0	0	0	-Inf
chr1	125080677	143221805	0.498108653494424	22	0.228051980100383	0.00948834264983531	198	0.134645408643629	0	0	0	-31.6435885972846
chr1	143221866	144104658	0.497862754695794	20	0.153170862626985	0.603207664970447	651	0.420126619592958	0	0	0	-7.05981206283383
chr1	144435669	149082016	0.403388160416987	132	0.107105497314277	1.01250597881405	7426	0.470651701105371	2	2	0	-6.7401715600143
chr1	149488140	150144987	0.497877218776403	11	0.202607906154631	1.02697556456039	1498	0.419135899531754	2	1	1	-6.733162505577
chr1	150150179	248650825	0.498890172793766	1944	0.114464728335786	1.04018009878855	148008	0.425712265704602	2	1	1	-6.75048095101614
chr2	224919	3180557	0.489769511037893	34	0.0479931386213041	1.00021895555943	1743	0.374790033893433	2	1	1	-6.7729587027566
chr2	3180568	3181191	0.0015984106569531	12	0	0.0112433393148577	19	0.00361041378782242	0	0	0	-Inf
chr2	3189269	33389120	0.481441655571787	452	0.101952507047486	1.04960057282132	34454	0.437253488757801	2	1	1	-6.77801210863852
chr2	33839934	36558320	0.497758917949272	10	0.204176285487702	1.04181362805327	404	0.746035462434914	2	1	1	-6.73333325558537
chr2	36581589	37372537	0.499439327384473	29	0.0442598406858514	1.14327418776548	2032	0.533239453104427	4	2	2	-6.73989020005963
chr2	37817201	39751255	0.49788834808969	9	0.195973850296411	1.15773518381732	2589	0.62379594444516	4	2	2	-6.74088508921432
chr2	39766027	87075937	0.498897856428825	483	0.120330877576287	1.08836712921259	42761	0.461322586161529	3	2	1	-6.94594552867032
chr2	87128901	87825596	0.0920272838866749	9	0.169882639228119	1.025542668303	319	0.731415781916249	13	13	0	-7.34724590761284
chr2	87825693	89764973	0.000645877981276841	44	0.138760771823452	0.914948594916111	2657	0.398949967687268	4	4	0	-9.7119151975679
chr2	89826449	89829230	0.49846742240659	9	0.232392328712555	0.007490299759408	20	0.00451197237766834	0	0	0	-25.9816703637111
chr2	89830023	91443469	0.258731348361543	106	0.181632377551533	0.570920146519145	1165	0.55943289724169	1	1	0	-8.02087612196455
chr2	91443607	91963663	0.121915983697771	16	0.18687811312903	0.763199237697548	553	0.491429672384689	7	7	0	-7.68338921816456
chr2	94203345	95945270	0.406625063485244	38	0.145610806990331	0.96994341643287	2513	0.493777891602243	2	2	0	-6.75010207199873
chr2	95945290	95953864	0.0278933329932494	17	0.024070057063888	0.619111719271363	49	0.355665945032389	20	20	0	-12.5303416770394
chr2	95953940	95991424	0.268354314914065	13	0.121331871645183	0.950466668544236	101	0.452032329519353	8	8	0	-6.76222679100432
chr2	96013999	97118094	0.492090300313967	50	0.13672000883677	1.06481162876494	5007	0.442919048399808	2	1	1	-6.73822195017624
chr2	97142577	97152451	0.0551428513413054	11	0.0627977996140282	0.939755745227727	50	0.395716380087289	20	20	0	-8.03293554202158
chr2	97152611	97547099	0.377418143825654	25	0.143230955685797	0.86471116034193	403	0.412601883580331	2	2	0	-6.80737625866131
chr2	97547464	242062014	0.494631157305399	1907	0.113296617613028	1.09405373484318	154645	0.457727590727156	3	2	1	-7.10854374158062
chr3	1278587	75666168	0.427578802503784	1041	0.114347850408315	0.999163095545766	93369	0.389082078855862	2	2	0	-7.05074168635879
chr3	75667728	75669986	0.350014843952444	30	0.152461806033021	0.127351259503066	192	0.0726235089795369	3	3	0	-7.77407520191318
chr3	75731921	75741566	0.222934127747406	30	0.0741218009718487	1.01391178383137	178	0.362488941729644	11	11	0	-6.75086157034043
chr3	76434564	89472543	0.376064085103418	37	0.116537869703694	0.969365361821388	2310	0.43653597517423	2	2	0	-6.9430923349291
chr3	91483720	93470778	0.497932007441694	9	0.200696979991672	0.30475293525614	50	0.847238136053656	0	0	0	-8.10183078124811
chr3	93874275	195770872	0.498907741901317	1206	0.115404827611379	1.1196047955672	94108	0.470092184423287	3	2	1	-6.8126444944162
chr3	195778917	195866806	0.314693645212719	138	0.109615037603633	0.570480038467782	2579	0.24190509503639	4	4	0	-7.2648190174874
chr3	195867934	197951038	0.498755168435152	76	0.130866467365409	1.07318884856352	4443	0.515329679072763	2	1	1	-6.74007180772348
chr4	305470	7855503	0.485553288968882	287	0.102460320718328	0.830861755665897	15436	0.33138049960392	0	0	0	-6.75966606814905
chr4	7863951	7864056	0.493460232645461	11	0.233549683248457	0.0130170833372455	13	0.00334165627596057	0	0	0	-17.2932746763949
chr4	7939130	48176047	0.496635491195103	344	0.101816262703652	0.942593137824079	21092	0.393922819119968	1	1	0	-6.85501202741434
chr4	48341676	49017213	0.0494502072995537	9	0.216768373564452	1.03418270111384	1177	0.619192295614755	10	10	0	-7.45157293220064
chr4	49091686	49711888	0.00526128202092607	333	0.142176361305597	0.00806336838578615	916	0.0317335162658834	20	20	0	-32.349883136766
chr4	51843641	123402583	0.498883751733374	717	0.104276976690289	1.00375978170467	50398	0.431658647903052	2	1	1	-6.91252417797407
chr4	124678947	131749630	0.498182524165049	21	0.182482184388087	1.02950240655594	2849	0.429360825743428	2	1	1	-6.73329692658789
chr4	138172074	188739132	0.489873817360282	358	0.101658081943651	1.02286918707283	28578	0.412849034786997	2	1	1	-6.75489246264789
chr4	189233926	190022703	0.400268436746192	18	0.146011683658212	0.656405613316582	220	0.583907171093257	1	1	0	-6.97687866439197
chr4	190112576	190179858	0.290722515495808	27	0.147817715186905	0.00489549362512583	47	0.00256461367329409	4	4	0	-39.9380165874631
chr5	140521	45889964	0.498869151683672	448	0.12544111076714	1.02332404778881	29711	0.450664269407613	2	1	1	-6.74406329178948
chr5	49599458	49602446	0.494938142750298	63	0.205853505295881	0.00345459151311896	129	0.00199420794053116	0	0	0	-32.0016560773689
chr5	49602523	49658348	0.0227443945541878	44	0.068106475990772	0.00437606278303966	82	0.00234189936220667	20	20	0	-42.4669050551136
chr5	49658400	49658830	0.411328346449952	10	0.196516581149446	0.00270972094996931	19	0.00119697474409935	0	0	0	-29.6280357994346
chr5	49659093	49667267	0.0656647831007704	60	0.140124020934806	0.00407407540116921	127	0.00227406103277867	18	18	0	-35.4691675038957
chr5	50633317	173232508	0.498918963878272	1443	0.104110282881563	0.964498699922156	101777	0.416445717281227	1	1	0	-7.13535893519905
chr5	173234755	175443208	0.498015857606319	14	0.217887207437323	0.985409234673447	562	0.332099884090593	2	1	1	-6.75925466456935
chr5	175926624	181283269	0.498884362189185	173	0.11105805411248	0.981682409200494	14880	0.464732843831834	2	1	1	-6.77090277713784
chr6	147404	397013	0.498308597791397	11	0.203976023546441	0.959380479701217	273	0.336871709951637	2	1	1	-6.74020114738841
chr6	397290	32405186	0.498912179523917	824	0.0977848362366065	1.09784678559661	47662	0.472990493802786	3	2	1	-6.88552688436313
chr6	32521862	32589700	0.280818541190641	45	0.131625413560412	1.01634636814702	242	0.717430089702097	7	7	0	-6.74500662030341
chr6	32589733	33086068	0.495505190699292	123	0.0786433804428892	1.16365167292772	2045	0.469444228592974	4	2	2	-6.73785095557218
chr6	33086091	33086637	0.183141654562018	41	0.0590689758032	1.24856525160051	60	0.472898950040231	16	16	0	-6.73411479888083
chr6	33092341	43054205	0.498890406392606	306	0.0981057345664715	1.16492651132702	25025	0.444707031773619	4	2	2	-6.79352306450668
chr6	43055358	43142550	0.49792712771105	10	0.202212347133733	1.2436261193481	609	0.514390755730358	4	2	2	-6.73317535305861
chr6	43186865	60544763	0.498869214175859	233	0.123474371943578	1.19604661546557	20106	0.49102772842263	4	2	2	-6.74794297734124
chr6	61697162	73425293	0.498907240966937	115	0.0770303792588137	1.14203029955469	5690	0.489205906150049	4	2	2	-6.85409409885123
chr6	73445623	104859560	0.498839050869639	151	0.145925433799528	1.17757661719482	17725	0.552278945993877	4	2	2	-6.80422361857586
chr6	105373307	107772376	0.00577373141496529	20	0.211393969938397	1.15156728448485	2026	0.52591702790908	6	6	0	-7.92204106442142
chr6	107912725	157299382	0.49888266711959	533	0.122369118488119	1.15157902713314	41312	0.484667247837875	3	2	1	-6.8622911818454
chr6	157310886	157314291	0.0351416778648201	14	0.21290765681316	0.0114351968444029	25	0.00323882694814033	9	9	0	-29.4644046615011
chr6	157314308	170582405	0.498837934885101	225	0.123142774279057	1.13325819720227	13957	0.469047637324591	3	2	1	-6.7977501847384
chr7	512409	32209604	0.498875063235697	537	0.109288506788993	1.08556353198812	31611	0.488043017579798	3	2	1	-6.91558990980102
chr7	32472299	32728788	0.497847112627304	12	0.219695846914581	1.06776028348197	359	0.525059788619292	2	1	1	-6.73371311570881
chr7	32869570	57148313	0.498844859438768	309	0.137711402424303	1.08237113033483	21522	0.434335386142075	3	2	1	-6.89936048583981
chr7	57148611	57495322	0.499417704740407	9	0.0721897576607036	0.900622170018975	228	0.550647912535655	0	0	0	-6.73567957777446
chr7	60957564	64142051	0.498529601745559	36	0.131457603763729	0.805567343598383	860	0.306971407641233	0	0	0	-6.78304885988222
chr7	64213230	100773794	0.498868284099291	469	0.124213051872135	1.08551208723002	43238	0.454149602831462	3	2	1	-6.93135571143419
chr7	100813511	100949676	0.0443521153354057	15	0.0840996008144085	1.16772098071652	1120	0.504614600745925	20	20	0	-7.86406912618181
chr7	100951774	100969850	0.382958390816449	282	0.0858463894668146	0.727384751677515	1681	0.218728858038571	3	3	0	-6.77970068771324
chr7	100972000	101001491	0.168034786993661	9	0.0643544870230507	0.627136020131544	970	0.207947045343732	16	16	0	-7.39333591722917
chr7	101020009	142482787	0.498875870011677	585	0.119703784848321	1.02077100507194	44291	0.456886644981403	2	1	1	-6.74886134057518
chr7	142483097	142492428	0.146241266497982	20	0.0722120233464585	0.908119337102782	88	0.490221555348302	20	20	0	-6.77272194392516
chr7	142499935	142750660	0.494354923923462	53	0.0938689757874486	0.98129579095837	931	0.380042742221515	2	1	1	-6.7379026217246
chr7	142751230	142774599	0.261977618146912	80	0.0920376608386927	0.870114165353139	512	0.280477116454617	8	8	0	-6.79842933981924
chr7	142802045	152230042	0.483444295788197	238	0.10770515494008	1.04401883618318	17104	0.418684132702515	2	1	1	-6.75107351375713
chr7	152235689	152407206	0.356703533630742	17	0.155854192794948	0.848144716662093	298	0.508968789710858	3	3	0	-6.77399333434553
chr7	152442769	159144274	0.498851611241836	62	0.122022231201762	1.02913300748947	4674	0.41453461975198	2	1	1	-6.73334750530872
chr8	266437	802151	0.293861857639928	10	0.122281096931074	0.949658818116297	289	0.389864351058246	4	4	0	-6.97471525341104
chr8	907868	42187436	0.459895714383024	600	0.123200355028433	1.04276443959841	38259	0.45023157649445	2	1	1	-6.80764469810315
chr8	42293692	43140604	0.0141514934370376	9	0.15	1.04339322742309	1752	0.542439044463321	12	12	0	-8.27848987297948
chr8	48729628	144880532	0.431927024605454	865	0.126319199395599	1.09034110863856	70897	0.464443235313792	3	2	1	-7.01832647923599
chr9	12667	41165039	0.407784898719104	503	0.120610423284928	1.00782167905116	33481	0.41395767983594	2	2	0	-6.81705353542589
chr9	41229822	41232760	0.0457178175699519	9	0.0556666666666667	0.0557439317364753	22	0.0545910613808157	20	20	0	-12.620493946887
chr9	41266256	43119872	0.337042400814056	47	0.123440075983964	0.830447211740228	894	0.480318619587225	2	2	0	-7.15614780813911
chr9	61581827	62799788	0.498158631949308	21	0.191457952613747	0.137910447155379	55	0.366177031204605	0	0	0	-12.5635799212349
chr9	62799809	62833455	0.0202816211271463	21	0.0242221858161952	0.0312042890961914	49	0.0384480832037283	20	20	0	-26.2604464202863
