chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	17020	2563346	0.375690365416257	162	0.104991898862613	1.17555253055418	11595	0.466114080744265	3	2	1	-6.73739497770583
chr1	2652211	2697524	0.0382163376804403	29	0.153260965824049	0.0138966174727996	102	0.00789609282411322	1	1	0	-30.2667382819232
chr1	2859485	3900290	0.354777611798254	109	0.0965368411837804	1.116324842524	3007	0.433558409345294	3	2	1	-6.75012512520107
chr1	4144528	6451522	0.21881094518263	60	0.114833570309629	0.759448263504849	2146	0.491045705052049	2	2	0	-7.04815040994538
chr1	6459964	58576639	0.498914171134519	1444	0.0844923440793261	0.859126559997376	100876	0.342662409308658	2	1	1	-6.74543483572664
chr1	58630796	58631181	0.247068078590173	19	0.0719863534825824	0.650901777595598	34	0.273708876399009	5	4	1	-6.73890743957081
chr1	58660011	121374827	0.498904182166246	628	0.0768285071973859	0.835770095380333	50007	0.339201888178887	2	1	1	-6.87086329727761
chr1	121375072	124768760	0.49777830960592	9	0.228911433625419	0.149200450872182	198	0.327356277142798	0	0	0	-9.62412469249934
chr1	125080065	143266955	0.284376501858134	43	0.140267814557241	0.00627415584359277	256	0.0335586834193944	0	0	0	-39.9437511035751
chr1	143498942	144104659	0.101009167732256	17	0.168716282034454	1.03833588238189	529	0.649725644985915	3	3	0	-6.74372852755118
chr1	144104743	248911607	0.374756682262403	2238	0.0937501124463995	1.13951781134706	165828	0.47005318048937	3	2	1	-6.79496415440938
chr2	272051	6496000	0.386976938473611	82	0.125393706388826	1.12855031682152	3210	0.493475772220855	3	2	1	-6.75431641008323
chr2	6496292	33610531	0.49891842530959	394	0.0669935699788938	0.899289519207692	29935	0.352713437054084	2	1	1	-7.07347750649123
chr2	33840249	37997490	0.291001487542418	77	0.0882653927796321	1.43811611703437	3196	0.64408493676447	4	3	1	-6.73444648113497
chr2	38071007	50053200	0.49782160863365	147	0.0678804718369531	0.921809802354505	10255	0.398943267693877	2	1	1	-6.99163573351098
chr2	50465321	60735814	0.356435167068881	63	0.106999526249005	1.12701141113864	5827	0.489805868734144	3	2	1	-6.75806818188414
