chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	182686	2629500	0.132240358668175	127	0.0807919625170046	0.828771302054694	9365	0.38110784634105	2	2	0	-6.90156907529983
chr1	2632573	2748508	0.300252718253448	20	0.166345360462408	0.373798707322111	123	0.632290107641457	1	1	0	-6.89423606621959
chr1	2783827	12828908	0.128754823607149	282	0.0733663633279172	0.844314274916686	17449	0.318201851813955	2	2	0	-7.36909268587404
chr1	12838056	13105676	0.410278463939849	91	0.106472489238258	0.762632293747237	647	0.286384275149926	2	1	1	-7.21498607006753
chr1	13115357	13322125	0.498397396805796	56	0.164038766403301	0.706318229736	544	0.224384205043851	2	1	1	-6.92650813788675
chr1	13344021	16576166	0.123684093695021	180	0.091626823235277	0.781462999347919	6215	0.335115364029881	2	2	0	-7.29759850651759
chr1	16576232	16869040	0.486663322171615	109	0.152150358975336	0.658606527036186	1743	0.33404342036288	2	1	1	-6.92944531551092
chr1	16922005	110951572	0.138133735401625	1460	0.0775970462320149	0.845417758371252	109386	0.320010931386578	2	2	0	-10.0575305929033
chr1	111198073	115050346	0.000600836191297471	64	0.0913802397364207	1.28370548741487	7036	0.535383358348663	3	3	0	-7.45355440298042
chr1	115062060	120810372	0.34913061936043	75	0.108290397035425	1.03015026177862	6838	0.41758023367713	3	2	1	-7.52631818257305
chr1	120829841	124450920	0.497742291753383	9	0.196878417077929	0.587041491619253	436	0.476892927903289	1	1	0	-7.71807176065005
chr1	125079931	143267087	0.00400883261493989	41	0.150203114514167	0.00750012191028987	218	0.102518733239501	2	2	0	-34.2093625033771
chr1	143267121	144104599	0.497735085362387	9	0.186875478446062	0.699149198195141	615	0.340005015135841	2	1	1	-7.08926078240534
chr1	144964993	155216951	0.498884854156148	465	0.100551324662387	1.29548462836878	35500	0.553007512647461	4	2	2	-7.54082560305839
chr1	155287693	156173173	0.49837230736359	10	0.224248002592368	1.446650511047	5011	0.509659481371689	4	2	2	-6.75523123917004
chr1	156181635	232036628	0.498931478217774	1533	0.08269121490466	1.32389868180087	113012	0.517172059789477	3	2	1	-8.19401792255705
chr1	232332759	248911696	0.448460756642697	363	0.115206506360549	1.43563841093452	22200	0.54629831182869	4	2	2	-7.2418302095668
chr2	218964	89828653	0.359865657128095	1049	0.0956345375858104	1.06736735156261	84888	0.406995360160152	2	1	1	-10.8682885950844
chr2	89828676	89831882	0.000652363318434879	10	0	0.00675478794427624	21	0.00606080302710238	0	0	0	-Inf
chr2	89851838	90121783	0.371325104389822	10	0.050465499766342	0.729196084123875	514	0.253306636291153	3	2	1	-7.4294076347332
chr2	90154172	90359552	0.330894533721217	12	0.106966434837374	0.722257493966386	307	0.347276243341053	3	2	1	-7.11916139800917
chr2	90381552	91442345	0.00645058667171894	25	0.1	0.00816217754433331	106	0.00885164235196181	3	3	0	-40.7125715653838
chr2	91443422	91963663	0.498513162796875	46	0.13479805794269	0.734505657288699	639	0.609456107017362	2	1	1	-6.78337750508582
chr2	93590044	94216530	0.498665241065726	10	0.216020292256692	0.610417532895169	135	0.436224060370094	2	1	1	-7.07873542350143
chr2	94258328	95939051	0.484642345173334	40	0.0770052903610508	0.998533933182386	2444	0.41371053577358	2	1	1	-6.77898201444339
chr2	95939110	95948464	0.498486073338093	31	0.174589607888888	0.41539966143039	68	0.323332727508039	0	0	0	-6.74263350177601
chr2	95950600	95951483	0.00424830209929383	24	0.0309831358991456	0.647648306929954	50	0.217267615476154	20	20	0	-6.93968784449747
chr2	95953864	97167846	0.335741663424426	59	0.128056223040887	1.07550644305491	5008	0.392390592922908	3	2	1	-6.90398145221752
chr2	97195001	158847781	0.475042536197434	623	0.0974991796221544	1.09568042635854	46514	0.461000034809101	2	1	1	-9.37544949757343
chr2	158847949	158884301	0.0190197643863161	9	0.151666666666667	0.846807146784471	99	0.376261384078448	5	5	0	-6.9045579585592
chr2	158884988	216864500	0.375531615941631	675	0.0920983910286669	1.1384113711561	64197	0.455441161340715	3	2	1	-8.31312561296968
chr2	217760858	241875962	0.498925736539107	719	0.0773849354163735	1.39919890762271	47913	0.526875339679705	4	2	2	-7.58692170444589
chr3	197562	50379070	0.474874061254614	727	0.0755124244367198	0.840556133481234	58878	0.295345245564142	2	1	1	-9.43924766308858
chr3	51348990	75666168	0.416719979087313	293	0.0871544584132141	1.10980362357056	26083	0.405228677406285	3	2	1	-8.22881278338468
chr3	75667810	75708333	0.455611352045975	34	0.157868715058734	0.133468517908461	143	0.0709910441967921	0	0	0	-8.57281855655468
chr3	75731921	75737101	0.0645575284086864	12	0.0952719790914412	0.975739597275735	44	0.140696440509677	4	4	0	-6.79868704500202
chr3	75737289	90542715	0.498613774984463	55	0.132076607705643	0.961304461345064	2776	0.352793949589219	2	1	1	-6.77217058123204
chr3	91483878	93874275	0.320857842425838	9	0.169664947600983	0.184639251815712	51	0.634081934459454	0	0	0	-7.83215516135266
chr3	93886282	194755782	0.355509531593783	1234	0.0886202013917873	1.07937360236257	89438	0.408560602006328	3	2	1	-11.1015657087853
chr3	194991046	195780069	0.492493416195188	83	0.140345343552787	0.911222759860982	1672	0.407094144991097	2	1	1	-6.7373205607605
chr3	195780075	195864004	0.29763456803586	97	0.0960325342655136	0.479993884977208	2114	0.19501263322397	1	1	0	-7.13042280005101
chr3	195867767	198155635	0.38384077369162	93	0.114161219383905	1.09842091992821	4687	0.390151427467399	3	2	1	-6.93192483692878
chr4	295483	657580	0.000641514872488397	9	0.217424699608853	0.759116001311156	776	0.31415076626115	2	2	0	-7.08445089356132
chr4	662092	49030857	0.498894898800276	503	0.0687483590437114	0.800205206179162	33307	0.300370298001112	2	1	1	-10.6929212512667
chr4	49092775	49103327	0.497884857704423	9	0.263523138347365	0.00861192150438226	35	0.0133983568539786	0	0	0	-21.5843323600405
chr4	49103636	49144074	0.0100641193336659	56	0.138449079907642	0.00686789607654781	149	0.00679265883432569	2	2	0	-32.3121118596752
chr4	49147308	49149459	0.497849827579277	11	0.235678710420467	0.00168608846378824	18	0.00208088090948933	0	0	0	-30.2874667655513
chr4	49149730	49711444	0.0281577428074058	75	0.134579374080607	0.0231042391836382	318	0.0763420508868286	1	1	0	-23.7928852854735
chr4	49711477	49711888	0.392586060474618	15	0.179492883530504	0.0052879852509062	28	0.00198239607038911	0	0	0	-24.3007767088357
chr4	51860656	159356124	0.498902607624471	834	0.080693743220622	0.806568936352395	61796	0.288227878257268	2	1	1	-12.5628165363729
chr4	164929536	188106856	0.13075403414725	175	0.0785257457283936	0.800187290060283	10886	0.285652261331317	2	2	0	-9.44560239766444
chr4	188270847	190115233	0.498113787765846	17	0.179697703674483	0.568957962024039	383	0.331547171469392	1	1	0	-7.91284606954825
chr4	190177765	190179606	0.249539311161105	18	0.128549486923267	0.0033914034178105	35	0.00206897855689893	1	1	0	-29.9947019686699
chr5	163151	10638068	0.10359393387397	258	0.0705802064646758	1.02657949709483	8566	0.412223589726718	2	2	0	-7.21328567440622
chr5	10638252	39342206	0.144913227506543	176	0.0898302345480687	0.747258919290307	13553	0.286005248866555	2	2	0	-11.3509071798868
chr5	39719344	47297905	0.0383808460967837	78	0.0476786281446056	2.55345287928454	6925	1.73964674604559	8	8	0	-6.77922036514425
chr5	49599511	49600692	0.0107090741559857	24	0.0679733403622332	0.00210353544414981	45	0.00116688309680797	5	5	0	-34.1539992622813
chr5	49600765	49601823	0.00524266182878452	9	0.224922826271096	0.00283746551326437	20	0.00125236618152662	1	1	0	-32.048604943713
chr5	49601846	49658497	0.049128533245844	42	0.155667259198996	0.00379771495835992	89	0.00400232950553658	1	1	0	-36.840668473882
chr5	49658498	49659893	0.491410178109856	11	0.189659743176611	0.00297866927386453	29	0.00217803635519062	0	0	0	-28.0049037017162
chr5	49660030	49830237	0.0296211342655623	29	0.144787903313132	0.0030018156943254	66	0.004525426740042	2	2	0	-39.8301052720021
chr5	50633163	181283430	0.106869345730009	1619	0.0652166717671852	1.01661587551804	118836	0.393190609180913	2	2	0	-9.10832901048922
chr6	292833	29877108	0.364629148330751	505	0.0864279790361334	0.986354556239359	25856	0.384206187559862	2	1	1	-8.20847025716371
chr6	29942781	29945672	0.0976698510096459	9	0.0452358019468847	1.17685671984988	88	0.470912687804231	14	13	1	-6.7510803629916
chr6	29957504	32366447	0.414196582178213	325	0.0807401400693828	1.07535570350384	16946	0.455160387315557	3	2	1	-7.10653770675219
chr6	32366464	32742619	0.493623206774315	151	0.106916177272069	0.803115948594298	948	0.318232237520725	2	1	1	-6.78913085056739
chr6	32745253	60544763	0.370198273664718	537	0.0955091419300961	1.13169566573313	44168	0.415346465812297	3	2	1	-7.83180101392385
chr6	61322946	157184284	0.357246394263267	888	0.0970832499860914	1.09063990065605	64649	0.410176959381157	3	2	1	-10.6716653616636
chr6	157310757	157314308	0.00880570114692791	17	0.121267812518166	0.014535271162186	43	0.00938401836445623	2	2	0	-22.2567773041979
chr6	157323556	170561964	0.360430009944031	229	0.0954133507439684	1.0571051322079	12944	0.402969008944427	3	2	1	-8.07197529846918
chr7	159865	57148305	0.487236371584123	903	0.0942313166867067	1.12916874327893	54045	0.44675728468444	3	2	1	-9.340568441697
chr7	57148306	58091475	0.497946895505691	9	0.219405889721412	0.849364912077553	287	0.402569807204016	2	1	1	-6.76802586667773
chr7	60957564	62275246	0.339249207684962	21	0.123823376514407	0.514520309260699	52	0.299884927025374	1	1	0	-7.4313402484315
chr7	63096280	64852329	0.450120700253113	57	0.119970461590074	0.882786392265916	1788	0.352873228958594	2	1	1	-6.86706750263218
chr7	64949276	66729451	0.384908496171212	17	0.161969427943162	1.0501313063091	1910	0.439305354463436	3	2	1	-6.93609185224676
chr7	66880783	100949552	0.433952156919136	521	0.0888097046634188	1.13546156789959	40505	0.456499593052636	3	2	1	-8.09749347892749
chr7	100949579	100949765	0.077220299138556	16	0.0320608146080747	1.59290406917025	20	0.187176942743322	17	16	1	-6.74049784740491
chr7	100951952	100972000	0.334711646856886	295	0.0858407248762098	0.800226173108653	1530	0.24873654909528	3	2	1	-6.86880568214735
chr7	100972030	101000595	0.2408095431821	15	0.108464916425718	0.567287121472511	707	0.214772618964342	1	1	0	-6.7476539332157
chr7	101000808	142257833	0.418783897095899	494	0.0940521834454842	1.09286216398178	44333	0.434164635037124	3	2	1	-8.99425166699793
chr7	142308504	142773692	0.248538083985453	165	0.110105963207161	0.984458092819015	2329	0.327575460758804	2	2	0	-7.22736507680919
chr7	142773737	152273771	0.408012387958561	250	0.105940495611649	1.15105551489743	17648	0.440927446148161	3	2	1	-7.09400401157309
chr7	152379862	152407516	0.375411839097873	26	0.170408093885057	0.0878784686691549	89	0.0509215032110676	0	0	0	-10.9856387110369
chr7	152442769	158151386	0.498745394035602	95	0.0978348815798915	1.12473953745016	3530	0.471588592974737	2	1	1	-7.19705588854626
chr7	158151423	159109734	0.498220431538696	20	0.167137345034744	0.956880529362903	1225	0.414328421489131	2	1	1	-6.73428914327666
chr8	266437	1844426	0.259476986373114	22	0.183369596964462	0.43001583390116	490	0.20622906834357	1	1	0	-8.63289218667631
chr8	1858063	4994265	0.251029863152296	35	0.0999926720004097	0.464599248541138	1332	0.15953484650946	1	1	0	-9.78961483964224
chr8	6532368	10616600	0.3132804988332	114	0.0990870690060854	1.07402495010835	3006	0.487043105251487	3	2	1	-7.19988410144718
chr8	10725693	12016376	0.0202674275430621	209	0.0332359317954435	12.3906459939894	9931	7.36934812017186	20	20	0	-6.73804568819229
chr8	12034396	12588079	0.498731067974742	65	0.132886008842744	0.578590748588358	818	0.514696968587891	2	1	1	-7.01358590225233
chr8	12676259	42982569	0.496411773238746	515	0.104773689202738	1.27187576898544	33616	0.57783171738594	3	2	1	-7.51029790753867
chr8	47933835	56166374	0.389511008479423	46	0.0716821486479208	1.00202318235035	4090	0.387851296368001	2	1	1	-8.03480028998621
chr8	56274685	57215237	0.497583350202158	9	0.155666666666667	0.849550924644699	405	0.53697340752244	2	1	1	-6.752724735585
chr8	58416879	144111231	0.39396271390437	875	0.0939360052589761	1.05672073402556	57323	0.411725915484955	2	1	1	-10.0534173534391
chr8	144125721	144125966	0.0141939225945178	12	0.144337567297406	0.0202934273243766	16	0.00663293549895771	1	1	0	-15.6810020551755
chr8	144192265	144946362	0.413920381356754	58	0.120947735859078	1.14875634848002	5574	0.413288501618472	3	2	1	-6.84219133123622
chr9	12704	29825927	0.149821752479966	286	0.0788804446560431	0.758128208031247	14207	0.287103988823559	2	2	0	-11.1192198622588
chr9	29826458	30774541	0.499144693474443	21	0.0774210196633594	0.558137053643275	87	0.148022769114834	2	1	1	-10.3527779787777
chr9	31254644	40883932	0.15404313859481	222	0.096510560606965	0.805303260763614	14104	0.302134185254518	2	2	0	-7.95014384025473
chr9	40927440	40998559	0.183130612987087	14	0.158298386349574	0.140849763174256	37	0.0814500344266846	0	0	0	-10.4740710318334
chr9	40998571	41224470	0.0487216484506338	18	0.11792626753681	0.749502649764025	193	0.44988704588899	3	3	0	-7.05807124684808
chr9	41229695	41807536	0.0800697588229731	31	0.148996687557898	0.0853629005333398	86	0.157710082242828	0	0	0	-15.5305175135145
chr9	41831022	43119872	0.44620627384435	22	0.113880700089233	0.680815992008022	459	0.332825226163609	2	1	1	-7.51070275050601
chr9	61192988	62845047	0.0557621066866599	53	0.161017181244808	0.164124159343979	197	0.295641466075508	0	0	0	-11.5413577082321
chr9	62850228	63762568	0.498768157102137	20	0.124628753968695	0.627277110002805	291	0.23051300938077	2	1	1	-8.06501501197144
chr9	63771180	63823649	0.310016189864042	42	0.198050774235744	0.0495757456692303	94	0.0789775285219728	0	0	0	-12.5554108486609
chr9	63837789	68259507	0.494824666309567	22	0.180171515206414	0.610968997311668	692	0.296782537776698	1	1	0	-7.84837243590088
chr9	68303626	133155959	0.140252332003323	861	0.0696488250316969	0.796713032578696	67844	0.307842673704033	2	2	0	-11.3757176027599
chr9	133205746	133208307	0.339891798247916	10	0.0651821379759142	0.795109948719553	81	0.232822391640887	6	4	2	-6.78943032596826
chr9	133255963	138177422	0.139320364283612	335	0.0801367829222036	0.814387574550629	18025	0.306090000155611	2	2	0	-7.31526512002349
chr10	47876	37219522	0.496741019072155	582	0.0914534138168637	1.29714310273959	32979	0.507094525197085	3	2	1	-7.7534705526524
chr10	38527337	38527987	-0.00319841251747544	9	0	0.0152775045403852	16	0.00322425702035885	0	0	0	-Inf
chr10	38527997	40128299	0.196492666771034	29	0.176286481742986	0.716362945457324	237	0.595790281535657	1	1	0	-6.82374752250987
chr10	41584204	41865361	0.000385487675081508	23	0	0.026634506652204	54	0.118949025720165	0	0	0	-Inf
chr10	41869434	41888342	0.00248561977706774	29	0.128940357388782	0.00565170234419242	70	0.00600420832402938	2	2	0	-31.1394026112529
chr10	41890260	42083598	0.00703954906736559	41	0.178919521355137	0.0111728700561471	135	0.00803580296879122	1	1	0	-35.0036533242936
chr10	42149013	42263123	0.130665418302985	15	0.161939347846508	0.529291621248403	61	0.567009542040544	2	2	0	-6.80691136642405
chr10	42263145	125742092	0.371379192791401	1333	0.0897625316182935	1.08494146484267	94078	0.430421733357646	3	2	1	-10.3042597874548
chr10	125895919	125910715	0.144276893060124	26	0.138067252286146	0.685451268962765	66	0.582038377967101	2	2	0	-6.73564099403368
