chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	14464	16697016	0.498993393407204	1101	0.0791464703371133	0.973427461231559	71147	0.259629085164311	2	1	1	-6.73314132925889
chr1	16697074	16948559	0.285093600398191	48	0.0986628329713326	0.873932568615246	1301	0.172611494744747	3	3	0	-7.0808986229961
chr1	16948577	120840358	0.498940530456757	2750	0.079074543408891	0.964377444738645	242484	0.215408544093191	2	1	1	-6.85579067365896
chr1	125094607	143253208	0.0770594723169968	18	0.14409561322828	3.55928848657162	339	1.03894355881469	20	20	0	-6.79840464582142
chr1	143253209	149062041	0.498916707359863	181	0.10370468176042	0.961670143598564	14424	0.376926213678575	2	1	1	-6.73690433840082
chr1	149062952	248936765	0.498942180075964	3048	0.0765348393584947	0.978581821490075	257597	0.209162729880669	2	1	1	-6.76676186271183
chr2	224970	89610875	0.498927991431152	1523	0.0739165366887737	0.973833350856538	149650	0.215369150985571	2	1	1	-6.73316838307561
chr2	89665964	91963698	0.498733448856141	85	0.112126888905767	0.898178506655713	2678	1.0375137077237	2	1	1	-6.74144948668922
chr2	94196506	242122263	0.494679823735792	3047	0.0804502450737213	0.975164829210371	276102	0.211663178552292	2	1	1	-6.73993113812215
chr3	850109	89127495	0.360155817961458	1679	0.086316296076579	0.979025059775904	170486	0.209603071636748	2	2	0	-6.77013892630239
chr3	93470398	95655338	0.277063160712278	9	0.0902330316458446	2.39086016013328	1313	5.85924618462964	15	12	3	-6.73397060862954
chr3	95744350	198169929	0.374322121458628	2137	0.0932600003563055	0.975481436856206	171647	0.218528114719215	2	2	0	-6.74316116131803
chr4	85635	49016897	0.498921217222637	1180	0.0838994533544189	0.987329436662096	71460	0.220002238919084	2	1	1	-6.84756493790857
chr4	49092807	49154530	0.0944450761482671	66	0.145866568174327	3.08814322850868	603	1.50560836109141	20	20	0	-6.73716705164621
chr4	49157790	49609124	0.371289772753065	30	0.111924384367715	0.892145007012858	103	0.476760365415205	2	2	0	-6.74403319921048
chr4	49635546	49711702	0.101799350642816	49	0.107252309173879	7.20716231834178	264	3.79346793192666	20	20	0	-6.73601806816918
chr4	51848078	189984870	0.498925733443221	1933	0.0838199768997316	0.96076415758987	151442	0.216717553666184	2	1	1	-7.03467398450573
chr4	189984902	190179746	0.493272846523308	17	0.110825843768766	1.38724946804306	282	0.688756907761327	6	3	3	-6.73673244819931
chr5	163654	45262925	0.498904484308308	724	0.0799903109891157	0.953388744276308	50897	0.221940610527363	2	1	1	-6.96855108163124
chr5	49599511	49666244	0.479413282929304	108	0.162408644874833	3.6503248254542	1053	4.20370297163525	19	10	9	-6.73306767873902
chr5	50402203	181283260	0.488302848093764	2688	0.0763925544938692	0.969388536837788	213599	0.211306829564429	2	1	1	-6.78201474778014
chr6	292833	32521821	0.498913612859036	1119	0.0783258615881194	0.994749507573085	77522	0.213568144066026	2	1	1	-6.920504210141
chr6	32521823	32661873	0.275952725439854	123	0.103255632823184	1.07001849580432	734	0.274337796718209	4	4	0	-6.76369119255457
chr6	32661903	60544763	0.4879824388523	909	0.0743872703402225	0.975541319480434	75830	0.20931909886182	2	1	1	-6.74996402088958
chr6	64156391	170323295	0.498928960546712	1819	0.0820536893291519	0.970747087447315	134843	0.218664632173952	2	1	1	-6.74566535836284
chr7	32924	56229287	0.481690578569791	1503	0.0764701830089379	0.95965105651247	89426	0.219873745563761	2	1	1	-6.91168609365644
chr7	56380906	58088536	0.498682347848496	33	0.123839132271743	0.847423834980722	1017	0.256070545372505	1	1	0	-6.9554605186217
chr7	60985118	63831969	0.498523033923437	47	0.13547745425179	0.742225214348623	798	0.210611447532222	0	0	0	-6.80420714681819
chr7	63843992	100922652	0.498915252499181	884	0.0853280275973336	0.958058735423987	74723	0.232676185543434	2	1	1	-6.83942991007556
chr7	100951933	100963322	0.333605731920642	196	0.0667586199962152	1.0065858009844	1771	0.10628488491854	3	3	0	-6.75769550583889
chr7	100963420	100965130	0.424041051701307	37	0.0453398412127921	0.827502110166091	114	0.192302500019475	1	1	0	-6.73429572818753
chr7	100965208	142198897	0.498907338052847	877	0.0851649946639147	0.989686521990671	75869	0.219771647705179	2	1	1	-6.86545693402519
chr7	142309056	142774599	0.284065601056357	185	0.104585923215795	0.84720226565692	3458	0.153255554095538	2	2	0	-7.29440925485567
chr7	142868408	152230042	0.483446728109291	327	0.076930244559	0.97548062382307	28037	0.200722271184138	2	1	1	-6.76113003946593
chr7	152235662	152408028	0.334855954014335	50	0.135492813274283	0.939108335857029	510	0.296600891158347	2	2	0	-6.76412194971978
chr7	152442769	159058543	0.455703090484988	149	0.0791682673009416	0.964255688730131	8051	0.226917542881605	2	1	1	-6.92259100042481
chr8	213553	43740313	0.498913230489905	1188	0.0899462858419869	0.962614684945476	70721	0.215179307164318	2	1	1	-6.80658584675132
chr8	46596061	144995323	0.498931759298558	1441	0.0789891418452869	0.978328291028002	123559	0.219443586354494	2	1	1	-6.76020255780444
chr9	14396	7478453	0.35319144397656	204	0.095241277155143	1.48204571008992	16294	0.350879614569729	6	5	1	-6.79135026726875
chr9	7597988	38620027	0.498884276934476	565	0.0826390078809554	1.02605002618925	47645	0.227025698501727	2	1	1	-7.5880376550997
chr9	38620378	43242683	0.403527083390959	158	0.120074642356995	0.874625151406418	3601	0.234926537106859	1	1	0	-6.81767242197378
chr9	61194086	69060196	0.343165688084258	137	0.120271411525048	0.915297791239043	3868	0.305508316806711	2	2	0	-6.94041484859234
chr9	69104045	138177422	0.498937011710129	1948	0.0801935554651065	0.969202180977974	174425	0.215532936302634	2	1	1	-6.75247224645518
chr10	47876	38998779	0.498892583662094	772	0.0850485559537678	0.958414859116007	53923	0.218333794046598	2	1	1	-6.85391914231067
chr10	41859930	41889544	0.439041305218258	10	0.175129666247612	3.79398382354004	85	1.97226849958462	19	11	8	-6.73316292978463
chr10	42148911	42273221	0.498153361084118	19	0.145057802554262	0.849974880728161	108	0.272935569684552	2	1	1	-6.75156986700504
chr10	42470188	133626863	0.496789711653389	2164	0.07819176499098	0.962424301479582	178107	0.213397336336912	2	1	1	-6.89359903014052
chr10	133687799	133689420	0.48957545436258	11	0.160665547588206	9.90719719615856	85	3.8905682582354	19	10	9	-6.73546331591338
chr11	179642	1016665	0.499121169649425	158	0.072119337091744	1.02090629982547	11780	0.208793945546141	2	1	1	-6.75879277660196
chr11	1016704	1099661	0.317036586740492	84	0.0760101640393706	0.919867247641602	2695	0.150023427755624	3	3	0	-6.80876654415062
chr11	1158068	50513000	0.498933149959394	1558	0.0746309697662031	0.979931201126098	111084	0.205037960075959	2	1	1	-6.76138592613501
chr11	54591643	134882159	0.496817323177219	2309	0.0758901073815147	0.983708422958069	221680	0.208975922435969	2	1	1	-6.84656427423608
chr12	12252	14889	0.259327256565896	15	0.0741425268365888	1.01912399165566	94	0.17813610326948	5	5	0	-6.7373733157527
chr12	15813	34209575	0.498902758836181	1124	0.0906682914228345	0.958968153589161	78565	0.214722919473471	2	1	1	-6.83523299560192
chr12	37576363	40480388	0.275680613063438	70	0.0919808693765336	0.959520339043155	4468	0.214455287583627	2	2	0	-7.25952025399723
chr12	40482917	40539440	0.309019135360471	42	0.0775532037976505	1.21505571409988	4191	0.215697832644597	3	3	0	-6.75528327772349
chr12	40906041	133081804	0.498937546902483	2295	0.0760719762028055	0.971206833029513	227605	0.215759494180388	2	1	1	-6.74114818779887
chr13	18171311	113962131	0.479468994386728	1721	0.0808042339694906	0.97143379275348	106043	0.227654992248612	2	1	1	-6.77770402377867
chr14	18330642	19669711	0.439820091044151	55	0.111567231470747	0.915873323882615	1342	0.243826122615311	1	1	0	-6.84171918672223
chr14	19678650	106875207	0.498930974592511	2295	0.079222974117456	0.969174902028707	190467	0.209956488445909	2	1	1	-6.7591460944464
chr15	19899720	22774346	0.496004194477222	203	0.121958965316575	0.850237788578561	4060	0.263479027305389	1	1	0	-6.94858459210434
chr15	22774619	101976440	0.498930063932159	2183	0.0845103798181949	0.951540141946387	199183	0.209351357686247	2	1	1	-7.26027293529317
chr16	11922	34130	0.498412531613274	9	0.165934558720532	1.21569107001142	58	0.303263639175116	4	2	2	-6.73312693020196
chr16	35065	34268594	0.498931265251577	1515	0.0812895475244432	0.979782547376341	139064	0.219401429054178	2	1	1	-6.74946104684377
chr16	34573980	34595485	0.49834212960813	35	0.178241541338779	3.92985261122564	550	1.38692275631776	20	10	10	-6.7332591065474
chr16	34804541	36101307	0.312130938446222	10	0.0970875893201598	0.826249731088405	428	0.356803813312247	2	2	0	-7.06636143346946
chr16	46386441	46401545	0.498499759397998	56	0.147591819318925	3.37200151347388	1042	1.17632320096322	20	10	10	-6.73309231610057
chr16	46671646	90093818	0.498926698950789	1422	0.0805976032689187	0.975190119696364	117493	0.211168415426358	2	1	1	-6.73444353345892
chr16	90093821	90101497	0.271848893217246	16	0.0877211491032807	0.90524897903565	140	0.177984453747935	4	4	0	-6.76594522197092
chr17	137603	18397921	0.498927875858689	1166	0.0795268879184073	0.9700439069991	95767	0.207235001159805	2	1	1	-6.73681075855673
chr17	18397948	21415555	0.408186232867486	311	0.0891470263312408	0.932992912262505	10810	0.225432352986273	2	2	0	-6.93501432169063
chr17	21415606	22741813	0.246652286146466	94	0.110759215717664	0.95014273802995	1044	1.61296207544522	5	5	0	-6.78183169457948
chr17	26603705	26755097	0.0798405716385862	9	0.17315527713587	2.34920657480133	79	2.06900046912823	20	20	0	-6.74975359062712
chr17	26755104	26963615	0.313863842105692	12	0.121320356032608	0.844032477078563	34	1.54315242690279	3	3	0	-6.73927508073184
chr17	26982170	45521398	0.498920918312646	824	0.0716750393650071	0.971141054003263	105258	0.205155786460388	2	1	1	-6.7350416688685
chr17	45525845	45584898	0.174745425189959	12	0.078370719640499	0.886174507421463	245	0.24288810120904	8	8	0	-7.0742321052148
chr17	45584935	83094678	0.498932372325611	1559	0.0766262447404075	0.970607358192301	140427	0.210751620402057	2	1	1	-6.73837695466141
chr18	47492	82784	0.471936268219104	15	0.0755876659124704	0.864825645756675	153	0.226965154154884	2	1	1	-6.82039406423485
chr18	107895	110640	0.278093449184176	40	0.13492692941756	3.30307934516952	610	1.12092258186576	15	12	3	-6.73315091218771
chr18	112179	15057120	0.456645896925023	391	0.0798273167430381	0.940003498671223	24605	0.218100644933407	2	1	1	-7.13055376166688
chr18	20993033	80159596	0.498918666718726	797	0.0791737289191184	0.964589770133809	65854	0.21814378664936	2	1	1	-6.7988051472666
chr19	282753	24312236	0.498937618840436	2381	0.07921329524782	0.971273752427396	182081	0.214135144840801	2	1	1	-6.7351464451048
chr19	29212777	39735006	0.490196428371667	580	0.0659227842510746	0.961843386379265	50971	0.205568272982491	2	1	1	-6.76873197974417
chr19	39735217	39886240	0.31879301805309	48	0.0804804610444615	0.939128181919506	1248	0.18024722388073	3	3	0	-6.80679197666407
chr19	39886243	54279520	0.494648545101148	1534	0.0784435974347279	0.96765610260681	119757	0.205436717041185	2	1	1	-6.74382786870501
chr19	54280939	58571238	0.498891346244681	736	0.0862109718097502	0.974214812045108	40096	0.203161148419076	2	1	1	-6.73314425537188
chr20	101574	26081626	0.463812280384955	612	0.0739835237692102	1.05556503336231	47287	0.236944208780033	3	2	1	-7.32708003353099
chr20	28560028	30877121	0.498846379443987	195	0.118876369270887	0.939950846385311	1199	0.323473490376677	2	1	1	-6.74960534957042
chr20	30897870	64105965	0.461352936322212	1152	0.0766228825226116	1.09118485742678	106054	0.238616702564446	3	2	1	-6.83337423115936
chr21	5134277	13052061	0.383553920327214	422	0.125089942672502	0.941871554350186	3647	0.490702256695072	2	2	0	-6.76795706521411
chr21	13624351	46554669	0.483699324957539	876	0.0845896093063992	0.978150326310992	56385	0.227645325502163	2	1	1	-6.76303145378511
chr22	10678964	12694025	0.450107643590476	376	0.122821212273765	0.792258437215722	1663	0.315259568960684	1	1	0	-6.80961996405814
chr22	15277980	18623438	0.471305885280562	170	0.0961536427147169	0.906402857969681	7344	0.203781701938762	2	1	1	-7.02442514095596
chr22	18730487	18854925	0.207981200370989	9	0.10790788252538	0.979908305960459	102	0.301439883232563	6	6	0	-6.92131630346682
chr22	19018693	49913292	0.498921699750089	1542	0.0798422188067318	0.967886640247999	117922	0.212179501306033	2	1	1	-6.74803087185108
chr22	49918734	49919031	0.162831020857069	9	0.136862562854533	0.731809287901742	16	0.185845769389567	11	11	0	-6.739173696068
chr22	49919331	50798635	0.498869896702097	112	0.0887317893293065	1.04938861802101	12769	0.208543241393326	2	1	1	-6.80029154539721
chrX	235660	57592437	0.499064778800959	152	0.0978235617931392	0.990968577087029	61148	0.237339514497005	2	1	1	-6.91551711674587
chrX	84871173	156024351	0.498863436900127	39	0.101231312732093	0.983350088037114	61736	0.369602839791079	2	1	1	-6.76314545680085
chrY	9466925	11986761	0.498555709100727	193	0.147277516188356	1.68427610400857	1737	2.37290145378254	8	4	4	-6.73364014021708
chrY	19413667	56834574	0.392774835930193	51	0.129627523705272	1.34926491894535	1757	2.27252601111301	4	3	1	-6.76590930632866
chrY	56834629	56885951	0.342744575165809	93	0.123532164443816	0.836882918432957	296	0.229472164046922	2	2	0	-6.76582485672683
