chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	182903	16760156	0.498812848458948	845	0.121273501745126	0.772397905004481	22836	0.301343596248567	2	1	1	-6.74184454714868
chr1	16760937	120466107	0.498863664840364	1308	0.0916695829032733	0.780143421216318	75054	0.282097261703461	2	1	1	-7.00088447300268
chr1	120492092	124937441	0.357021266168925	194	0.144168223187726	0.802861871955799	3580	0.38511537766767	2	2	0	-7.11555208062645
chr1	125073822	144102517	0.292597701193304	356	0.137068109869348	0.796246107322615	5282	0.342427563052786	2	2	0	-6.95167419312989
chr1	144102634	172748778	0.309940690531541	662	0.103706291402156	1.40427787618125	48077	0.557113937133833	5	4	1	-6.85370151678633
chr1	173487878	248750625	0.157681331489957	886	0.103700500975845	1.17271629339777	57998	0.447276456689741	4	4	0	-6.78074619986379
chr2	242793	89814899	0.498818113250442	950	0.10669403863533	0.978919262568957	51856	0.371080385048932	3	2	1	-7.35662794929615
chr2	89818653	89841024	0.490718224530298	204	0.121694646470662	0.624249111082482	1171	0.202536465410269	2	1	1	-6.75010482074585
chr2	89841043	92075691	0.32066966954594	277	0.111031440113909	0.936142994095589	3171	0.347911658802381	3	2	1	-7.02103430194759
chr2	93810066	242010077	0.498840278952922	1848	0.10699453392536	0.987566907668577	96343	0.366392971193078	3	2	1	-7.68498305245408
chr3	401716	74364525	0.498835866213843	872	0.0899150436227238	0.968298330433342	55296	0.352575845888468	3	2	1	-7.42321896375082
chr3	75214842	90227511	0.254246314890123	296	0.135119555822064	1.12979891927981	3380	1.74250380119348	5	4	1	-6.85410005430298
chr3	90510221	90951640	0.105030869424804	29	0.156409600262219	1.46692950748724	496	1.4197292401177	7	7	0	-6.73707041589116
chr3	91054543	198139690	0.498864388491187	1476	0.0995619172052536	1.35581443206774	72411	0.589291817371046	5	3	2	-7.02662509467591
chr4	18648	9155662	0.498801832108598	298	0.101066341559613	0.759522500772417	10067	0.342412259537073	2	1	1	-6.73600264206273
chr4	9158890	9188053	0.0850055399419652	24	0.0569008800013456	3.48291100504938	97	6.1454063471687	9	9	0	-6.7347708605108
chr4	9238584	40122170	0.498950188972435	158	0.102285613507617	0.78972190894229	8369	0.311710947854311	2	1	1	-6.91242778065611
chr4	40294728	49570488	0.329584018299146	1155	0.128564624497871	0.655350450445792	10699	0.286027996474704	1	1	0	-7.8229185481873
chr4	49575935	49922184	0.493384845213666	395	0.141406511940664	0.597378900898387	2473	0.223065895559334	2	1	1	-6.98073128553274
chr4	51107295	152330909	0.498812866331252	648	0.100801866196753	0.787089059992512	36580	0.317425358644433	2	1	1	-7.16584517792374
chr4	153276082	188146833	0.498784764805827	205	0.0984581432792685	0.991507243321393	11817	0.377698433045362	3	2	1	-7.44207452368049
chr4	188270940	190203701	0.339704159145871	176	0.140597879202937	0.804405427470858	1435	0.371276616449879	2	2	0	-7.01419105367098
chr5	16120	37834915	0.398182125419135	365	0.113660633226224	0.947016241908352	14773	0.346668196039673	3	2	1	-6.77177557330487
chr5	37897756	43840834	0.113482686464618	482	0.0908815053827496	4.38908601639374	30473	3.7705993725066	16	15	1	-6.7471096584372
chr5	44112226	47307613	0.485027855253551	18	0.132780225317229	1.62513306106101	549	1.02059292153045	6	3	3	-6.74519111429445
chr5	49599458	49667336	0.439272446176448	283	0.0939803489673808	0.627768992479	2327	0.102903088494373	2	1	1	-7.12130850742963
