chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	13668	121564769	0.377713488005842	3587	0.0857770226838464	0.9283102047766	211606	0.265732789092238	2	2	0	-9.23899676079101
chr1	125183675	144904956	0.48258246653081	13	0.148475846261528	1.06081141306658	441	0.341813606244897	3	2	1	-7.02225313663157
chr1	144905827	227434234	0.490342430805666	2337	0.077106332744098	1.12357732145808	164142	0.324672797574625	3	2	1	-6.97998519013938
chr1	227493082	234608667	0.369752256822338	268	0.0849009118674982	1.06544216784163	13230	0.486840340653043	2	2	0	-6.83607269847854
chr1	234609263	248936715	0.445756572553904	423	0.0873326510776375	1.17673983306588	21984	0.397443320911	3	2	1	-6.88532467056989
chr2	154428	68024002	0.498917752717311	1161	0.0770705122401584	1.09111321111338	79859	0.333822323230806	3	2	1	-7.21241032020972
chr2	68042936	90234668	0.499060449416553	548	0.0812441050687054	0.945119089153828	30342	0.285661542259343	2	1	1	-7.02761472750544
chr2	90294597	91974079	0.376772874285674	69	0.111924064274323	1.05662150463057	909	0.423253871526239	2	2	0	-6.76110317863603
chr2	94195995	241320199	0.49893593663885	3042	0.0808884660701776	1.01111487674669	192611	0.307037369389726	2	1	1	-7.22720772989726
chr2	241333724	241456618	0.498125669632601	9	0.186024714606539	0.959492592677952	374	0.590756357045465	2	1	1	-6.73326170059288
chr2	241456672	241875962	0.497332716697912	46	0.0723054344113264	0.884550446892269	2055	0.235556500903146	2	1	1	-6.78799568420117
chr3	39505	8680078	0.498873864073628	117	0.0754326141723352	1.03164629819555	4966	0.357090472418247	2	1	1	-6.81104153673257
chr3	8682243	8683411	0.19424506706086	9	0.107789661429615	1.11508128154744	29	0.325864594563674	9	9	0	-6.7348645211392
chr3	8688295	75421851	0.498933003074552	1412	0.0743136254277737	1.03131639302571	110220	0.303986298483658	2	1	1	-7.46487460193298
